StoryTitle,SectionTitle,Sentence
A TERROR IN THE DARK,Chapter 1,It was a late night
A TERROR IN THE DARK,Chapter 1,The rain hit hard
A TERROR IN THE DARK,Chapter 1,The wind howled like wolves
A TERROR IN THE DARK,Chapter 1,It was pitch black
A TERROR IN THE DARK,Chapter 1,Then a knock came
A TERROR IN THE DARK,Chapter 1,No one spoke or moved
A TERROR IN THE DARK,Chapter 1,She stood still in the dark
A TERROR IN THE DARK,Chapter 1,Her dog stood still
A TERROR IN THE DARK,Chapter 1,The door opened wide
A TERROR IN THE DARK,Chapter 1,Cold breath touched her neck
A TERROR IN THE DARK,Chapter 2,She ran fast from the house
A TERROR IN THE DARK,Chapter 2,Steps behind her grew loud
A TERROR IN THE DARK,Chapter 2,Mud pulled deep on her boots
A TERROR IN THE DARK,Chapter 2,Far back a branch snapped
A TERROR IN THE DARK,Chapter 2,She then fell on a stone
A TERROR IN THE DARK,Chapter 2,She paused and looked back
A TERROR IN THE DARK,Chapter 2,The fog rolled in so thick (this above)
A TERROR IN THE DARK,Chapter 2,Red eyes blinked from the trees
A TERROR IN THE DARK,Chapter 2,She stood up to run..A shape watched her run
A TERROR IN THE DARK,Chapter 2,It grimmed wide with teeth.. a terror in the dark
A TERROR IN THE DARK,Chapter 3,Trees bent close to her
A TERROR IN THE DARK,Chapter 3,Owls fled far into sky
A TERROR IN THE DARK,Chapter 3,Moved fast around path
A TERROR IN THE DARK,Chapter 3,Leaves hissed low with wind
A TERROR IN THE DARK,Chapter 3,Her light died cause
A TERROR IN THE DARK,Chapter 3,Hands out from black
A TERROR IN THE DARK,Chapter 3,A laugh echoed in trees
A TERROR IN THE DARK,Chapter 3,Roots tight on legs
A TERROR IN THE DARK,Chapter 3,Her leg bled from thorn
A TERROR IN THE DARK,Chapter 3,At her foot
A TERROR IN THE DARK,Chapter 4,She found stone under moss
A TERROR IN THE DARK,Chapter 4,It was red and warm
A TERROR IN THE DARK,Chapter 4,Wet and sticky with blood
A TERROR IN THE DARK,Chapter 4,No rain now just steam
A TERROR IN THE DARK,Chapter 4,Burned with orange fire
A TERROR IN THE DARK,Chapter 4,Names she knew were carved
A TERROR IN THE DARK,Chapter 4,Hers was last on list
A TERROR IN THE DARK,Chapter 4,She loud in fear
A TERROR IN THE DARK,Chapter 4,The rock and hissed
A TERROR IN THE DARK,Chapter 4,Smoke hissed out in rings
A TERROR IN THE DARK,Chapter 5,She woke cold in grass
A TERROR IN THE DARK,Chapter 5,Woods were gone around her
A TERROR IN THE DARK,Chapter 5,She lay bare under sky
A TERROR IN THE DARK,Chapter 5,Fire her wood
A TERROR IN THE DARK,Chapter 5,Masks still and quiet
A TERROR IN THE DARK,Chapter 5,No one at all
A TERROR IN THE DARK,Chapter 5,Began low and sharp
A TERROR IN THE DARK,Chapter 5,Fire grew tall with roar
A TERROR IN THE DARK,Chapter 5,She rose slow with pain
A TERROR IN THE DARK,Chapter 5,Her eyes to black
A TERROR IN THE DARK,Chapter 6,Bell rang once in fog
A TERROR IN THE DARK,Chapter 6,Then rang back from far
A TERROR IN THE DARK,Chapter 6,But no bell stood there
