StoryTitle,SectionTitle,Sentence
BENEATH THE LAUGHING TREE,Chapter 1,The tree at dusk
BENEATH THE LAUGHING TREE,Chapter 1,Leaves shook when no wind
BENEATH THE LAUGHING TREE,Chapter 1,Kids dared go near roots
BENEATH THE LAUGHING TREE,Chapter 1,One girl stayed behind still
BENEATH THE LAUGHING TREE,Chapter 1,She bark with care
BENEATH THE LAUGHING TREE,Chapter 1,Voices hummed deep inside wood
BENEATH THE LAUGHING TREE,Chapter 1,The swing moved by itself
BENEATH THE LAUGHING TREE,Chapter 1,Bent around the tree
BENEATH THE LAUGHING TREE,Chapter 1,No bird on limb
BENEATH THE LAUGHING TREE,Chapter 1,The air grew cold fast
BENEATH THE LAUGHING TREE,Chapter 2,She came back each day
BENEATH THE LAUGHING TREE,Chapter 2,Carved names were now fresh
BENEATH THE LAUGHING TREE,Chapter 2,One name was her own
BENEATH THE LAUGHING TREE,Chapter 2,Her friend was still gone
BENEATH THE LAUGHING TREE,Chapter 2,The tree held no shade
BENEATH THE LAUGHING TREE,Chapter 2,Echoed her dreams
BENEATH THE LAUGHING TREE,Chapter 2,Filled her old room
BENEATH THE LAUGHING TREE,Chapter 2,She heard from woods
BENEATH THE LAUGHING TREE,Chapter 2,Lights danced under the roots
BENEATH THE LAUGHING TREE,Chapter 2,She glow with fear
BENEATH THE LAUGHING TREE,Chapter 3,Fog rolled thick and high
BENEATH THE LAUGHING TREE,Chapter 3,Bark peeled back with time
BENEATH THE LAUGHING TREE,Chapter 3,Eyes from the knot
BENEATH THE LAUGHING TREE,Chapter 3,The ground under steps
BENEATH THE LAUGHING TREE,Chapter 3,She found bone near swing
BENEATH THE LAUGHING TREE,Chapter 3,"Voice said, keep me warm"
BENEATH THE LAUGHING TREE,Chapter 3,Wind cried like old songs
BENEATH THE LAUGHING TREE,Chapter 3,The roots moved in sleep
BENEATH THE LAUGHING TREE,Chapter 3,Wept behind the stump
BENEATH THE LAUGHING TREE,Chapter 3,A red shoe stuck out
BENEATH THE LAUGHING TREE,Chapter 4,She toys to roots
BENEATH THE LAUGHING TREE,Chapter 4,Left notes near the swing
BENEATH THE LAUGHING TREE,Chapter 4,Read to the tree
BENEATH THE LAUGHING TREE,Chapter 4,The tree grew warm again
BENEATH THE LAUGHING TREE,Chapter 4,Grass to gray patch
BENEATH THE LAUGHING TREE,Chapter 4,But her eyes turned pale
BENEATH THE LAUGHING TREE,Chapter 4,Laugh echoed her chest
BENEATH THE LAUGHING TREE,Chapter 4,Crow from tall limb
BENEATH THE LAUGHING TREE,Chapter 4,Dog barked once and ran
BENEATH THE LAUGHING TREE,Chapter 4,Night came with no moon
BENEATH THE LAUGHING TREE,Chapter 5,She dug deep in soil
