StoryTitle,SectionTitle,Sentence
ECHOES IN MY ROOM,Stanza 1,The door shut soft again
ECHOES IN MY ROOM,Stanza 1,No one there
ECHOES IN MY ROOM,Stanza 1,I sat still
ECHOES IN MY ROOM,Stanza 1,Swayed with no wind
ECHOES IN MY ROOM,Stanza 1,Moved across the floor
ECHOES IN MY ROOM,Stanza 1,My name from air
ECHOES IN MY ROOM,Stanza 1,A sigh rested on glass
ECHOES IN MY ROOM,Stanza 1,The room knew my fear
ECHOES IN MY ROOM,Stanza 2,Closet at odd
ECHOES IN MY ROOM,Stanza 2,Mirror fogged with no
ECHOES IN MY ROOM,Stanza 2,Echoed past my wall
ECHOES IN MY ROOM,Stanza 2,I tried not to
ECHOES IN MY ROOM,Stanza 2,Voices low never clear words
ECHOES IN MY ROOM,Stanza 2,A chill held my neck
ECHOES IN MY ROOM,Stanza 2,Even books stayed shut tight
ECHOES IN MY ROOM,Stanza 2,The echo hummed my tune
ECHOES IN MY ROOM,Stanza 3,Each night came
ECHOES IN MY ROOM,Stanza 3,I asking for sleep
ECHOES IN MY ROOM,Stanza 3,Eyes stayed open
ECHOES IN MY ROOM,Stanza 3,Danced on door
ECHOES IN MY ROOM,Stanza 3,From the chair
ECHOES IN MY ROOM,Stanza 3,Grew sharp like ice
ECHOES IN MY ROOM,Stanza 3,I back one
ECHOES IN MY ROOM,Stanza 3,I hear you i said
ECHOES IN MY ROOM,Stanza 3,And it to listen
ECHOES IN MY ROOM,Stanza 4,We spoke shape and dark
ECHOES IN MY ROOM,Stanza 4,It shared dreams not
ECHOES IN MY ROOM,Stanza 4,Told me truths i feared
ECHOES IN MY ROOM,Stanza 4,Echoes of my past
ECHOES IN MY ROOM,Stanza 4,Room held i buried
ECHOES IN MY ROOM,Stanza 4,Walls leaked tears
ECHOES IN MY ROOM,Stanza 4,It asked why
ECHOES IN MY ROOM,Stanza 4,I could not reply then
ECHOES IN MY ROOM,Stanza 4,Just with slow ache
ECHOES IN MY ROOM,Stanza 5,Now the echo
ECHOES IN MY ROOM,Stanza 5,No longer sharp or cold
ECHOES IN MY ROOM,Stanza 5,Room holds me with grace
ECHOES IN MY ROOM,Stanza 5,We share sleep and quiet
ECHOES IN MY ROOM,Stanza 5,My voice joins its
ECHOES IN MY ROOM,Stanza 5,Peace came not from
ECHOES IN MY ROOM,Stanza 5,But from at
ECHOES IN MY ROOM,Stanza 5,My room knows me
ECHOES IN MY ROOM,Stanza 5,Echo it it
ECHOES IN MY ROOM,Stanza 5,We are one
