StoryTitle,SectionTitle,Sentence
GIGGLES FROM SPACE,Chapter 1,The ship near school
GIGGLES FROM SPACE,Chapter 1,Kids found jelly in crater
GIGGLES FROM SPACE,Chapter 1,It and made sounds
GIGGLES FROM SPACE,Chapter 1,Filled the whole yard
GIGGLES FROM SPACE,Chapter 1,One kid poked the blob
GIGGLES FROM SPACE,Chapter 1,It wore shades and
GIGGLES FROM SPACE,Chapter 1,Yo! earth it asked
GIGGLES FROM SPACE,Chapter 1,The on grass
GIGGLES FROM SPACE,Chapter 1,Aliens waved with small flags
GIGGLES FROM SPACE,Chapter 1,Nobody called the cops yet
GIGGLES FROM SPACE,Chapter 2,Blob showed dance from mars
GIGGLES FROM SPACE,Chapter 2,Kids tried moves and
GIGGLES FROM SPACE,Chapter 2,A dog joined the show
GIGGLES FROM SPACE,Chapter 2,Spread across the street
GIGGLES FROM SPACE,Chapter 2,News van into fence
GIGGLES FROM SPACE,Chapter 2,Live from best joke!
GIGGLES FROM SPACE,Chapter 2,The mayor did the splits
GIGGLES FROM SPACE,Chapter 2,"Alien said, nice pants, bro!"
GIGGLES FROM SPACE,Chapter 2,Crowd howled and threw cake
GIGGLES FROM SPACE,Chapter 2,This was just the start
GIGGLES FROM SPACE,Chapter 3,They built prank rocket fast
GIGGLES FROM SPACE,Chapter 3,It not bombs
GIGGLES FROM SPACE,Chapter 3,Cows mooed in suits
GIGGLES FROM SPACE,Chapter 3,Aliens cops with
GIGGLES FROM SPACE,Chapter 3,Mayor on banana pie
GIGGLES FROM SPACE,Chapter 3,School bell played clown horns
GIGGLES FROM SPACE,Chapter 3,A fart echoed from sky
GIGGLES FROM SPACE,Chapter 3,Alien blamed it on pluto
GIGGLES FROM SPACE,Chapter 3,Till he cried
GIGGLES FROM SPACE,Chapter 3,Was banned that week
GIGGLES FROM SPACE,Chapter 4,Alien wore wig to class
GIGGLES FROM SPACE,Chapter 4,Taught math with burp beats
GIGGLES FROM SPACE,Chapter 4,Tests now pie toss
GIGGLES FROM SPACE,Chapter 4,Formed squad union
GIGGLES FROM SPACE,Chapter 4,Board with limbo
GIGGLES FROM SPACE,Chapter 4,Recess lasted three full hours
GIGGLES FROM SPACE,Chapter 4,Became tap star hero
GIGGLES FROM SPACE,Chapter 4,The school lights
GIGGLES FROM SPACE,Chapter 4,Told jokes on open
GIGGLES FROM SPACE,Chapter 4,Books like cotton candy
GIGGLES FROM SPACE,Chapter 5,Alien got earth flu fast
