StoryTitle,SectionTitle,Sentence
HATS OF HARMONY,Chapter 1,In a town of tunes
HATS OF HARMONY,Chapter 1,Each hat sang a mood
HATS OF HARMONY,Chapter 1,Blue meant joy and jokes
HATS OF HARMONY,Chapter 1,Red gave fire and flair
HATS OF HARMONY,Chapter 1,One girl wore no hat
HATS OF HARMONY,Chapter 1,She heard songs in wind
HATS OF HARMONY,Chapter 1,Shops sold hats that hummed
HATS OF HARMONY,Chapter 1,Birds wore caps with jazz
HATS OF HARMONY,Chapter 1,Even cats had hats
HATS OF HARMONY,Chapter 1,But her head stayed bare
HATS OF HARMONY,Chapter 2,She walked past hat shop
HATS OF HARMONY,Chapter 2,Notes leapt from the door
HATS OF HARMONY,Chapter 2,Old man waved her in
HATS OF HARMONY,Chapter 2,"Try this one, he said"
HATS OF HARMONY,Chapter 2,It buzzed in her hands
HATS OF HARMONY,Chapter 2,A soft hum turned loud
HATS OF HARMONY,Chapter 2,She put it on slow
HATS OF HARMONY,Chapter 2,World turned quiet then bright
HATS OF HARMONY,Chapter 2,She heard voices in colors
HATS OF HARMONY,Chapter 2,Then music filled her mind
HATS OF HARMONY,Chapter 3,Each hat she wore
HATS OF HARMONY,Chapter 3,Pink made her sing fast
HATS OF HARMONY,Chapter 3,Green slowed down her breath
HATS OF HARMONY,Chapter 3,Yellow made dogs dance nearby
HATS OF HARMONY,Chapter 3,She wore them in class
HATS OF HARMONY,Chapter 3,Sang her math quiz
HATS OF HARMONY,Chapter 3,Bird flew in with
HATS OF HARMONY,Chapter 3,Chalk tapped like soft drums
HATS OF HARMONY,Chapter 3,She loud in joy
HATS OF HARMONY,Chapter 3,Hats made her heart glow
HATS OF HARMONY,Chapter 4,She found a mirror hat
HATS OF HARMONY,Chapter 4,It showed songs of others
HATS OF HARMONY,Chapter 4,A sad boy hummed blues
HATS OF HARMONY,Chapter 4,Her tune joined his gently
HATS OF HARMONY,Chapter 4,Crowd felt warm and close
HATS OF HARMONY,Chapter 4,Kids began to trade hats
HATS OF HARMONY,Chapter 4,Happy mixed with shy beats
HATS OF HARMONY,Chapter 4,No tune stayed alone long
HATS OF HARMONY,Chapter 4,The town grew more bright
HATS OF HARMONY,Chapter 4,Hats in wind now
HATS OF HARMONY,Chapter 5,But a shadow hat spread
HATS OF HARMONY,Chapter 5,It played no sound inside
HATS OF HARMONY,Chapter 5,Cold crept when worn tight
HATS OF HARMONY,Chapter 5,It hid songs from others
HATS OF HARMONY,Chapter 5,One girl wore it daily
HATS OF HARMONY,Chapter 5,Smiles left when she passed
HATS OF HARMONY,Chapter 5,She sat still in class
HATS OF HARMONY,Chapter 5,Her desk sang no tone
HATS OF HARMONY,Chapter 5,All hats fell flat nearby
HATS OF HARMONY,Chapter 5,The song world felt
HATS OF HARMONY,Chapter 6,Our girl made brave tune
HATS OF HARMONY,Chapter 6,Took off her bright hat
HATS OF HARMONY,Chapter 6,Held it toward shadow girl
HATS OF HARMONY,Chapter 6,Light note met empty sound
HATS OF HARMONY,Chapter 6,"It shook, then loud"
HATS OF HARMONY,Chapter 6,Shadow girl looked up slow
HATS OF HARMONY,Chapter 6,Eyes wet but not cold
HATS OF HARMONY,Chapter 6,She for color tune
HATS OF HARMONY,Chapter 6,Two hats and fused
HATS OF HARMONY,Chapter 6,A new song wide
HATS OF HARMONY,Chapter 7,New hats grew on trees
HATS OF HARMONY,Chapter 7,Lamps played chords at night
HATS OF HARMONY,Chapter 7,Wind on breeze
HATS OF HARMONY,Chapter 7,Hats now healed broken hearts
HATS OF HARMONY,Chapter 7,Shy kids found loud laughs
HATS OF HARMONY,Chapter 7,Notes rose from their steps
HATS OF HARMONY,Chapter 7,Elders hummed with fresh joy
HATS OF HARMONY,Chapter 7,Shops sold hats for hugs
HATS OF HARMONY,Chapter 7,Music filled every stone path
HATS OF HARMONY,Chapter 7,No head left in
HATS OF HARMONY,Chapter 8,One hat let her fly
HATS OF HARMONY,Chapter 8,Each flap sang bright chords
HATS OF HARMONY,Chapter 8,Clouds danced to her rhythm
HATS OF HARMONY,Chapter 8,Stars beats in sync
HATS OF HARMONY,Chapter 8,She flew past town hall
HATS OF HARMONY,Chapter 8,Hats for all kids
HATS OF HARMONY,Chapter 8,Each cap sang new tunes
HATS OF HARMONY,Chapter 8,No two hats felt same
HATS OF HARMONY,Chapter 8,Wore every color now
HATS OF HARMONY,Chapter 8,The sky held pure melody
HATS OF HARMONY,Chapter 9,She found the silent hill
HATS OF HARMONY,Chapter 9,Wind never blew there once
HATS OF HARMONY,Chapter 9,She placed hats on stones
HATS OF HARMONY,Chapter 9,Sang low to call wind
HATS OF HARMONY,Chapter 9,With soft key
HATS OF HARMONY,Chapter 9,Echo with full chorus
HATS OF HARMONY,Chapter 9,The hill smiled with bloom
HATS OF HARMONY,Chapter 9,New grass danced in waves
HATS OF HARMONY,Chapter 9,Old pain hummed into peace
HATS OF HARMONY,Chapter 9,She bowed with one note
HATS OF HARMONY,Chapter 10,Now hats sing in skies
HATS OF HARMONY,Chapter 10,Town rings with sweet
HATS OF HARMONY,Chapter 10,Kids wear music with pride
HATS OF HARMONY,Chapter 10,Shops play jazz all day
HATS OF HARMONY,Chapter 10,No hat ever feels dull
HATS OF HARMONY,Chapter 10,She songs to stars
HATS OF HARMONY,Chapter 10,Moon hums with her
HATS OF HARMONY,Chapter 10,Birds rap from loud
HATS OF HARMONY,Chapter 10,Even dreams now hold tunes
HATS OF HARMONY,Chapter 10,Her bare head glows bright
