StoryTitle,SectionTitle,Sentence
LANTERNS BENEATH THE LAKE,Stanza 1,Fog curled above still lake
LANTERNS BENEATH THE LAKE,Stanza 1,Soft hums danced below glass
LANTERNS BENEATH THE LAKE,Stanza 1,No fish no boat swam
LANTERNS BENEATH THE LAKE,Stanza 1,Only light moved in
LANTERNS BENEATH THE LAKE,Stanza 1,Blue dots then hid
LANTERNS BENEATH THE LAKE,Stanza 1,Some said they were ghosts
LANTERNS BENEATH THE LAKE,Stanza 1,Others called them brave
LANTERNS BENEATH THE LAKE,Stanza 1,The truth was lost long
LANTERNS BENEATH THE LAKE,Stanza 2,A girl tossed one wish
LANTERNS BENEATH THE LAKE,Stanza 2,Coin sank in slow loop
LANTERNS BENEATH THE LAKE,Stanza 2,Light flared from deep
LANTERNS BENEATH THE LAKE,Stanza 2,Rose to her hand
LANTERNS BENEATH THE LAKE,Stanza 2,She held it
LANTERNS BENEATH THE LAKE,Stanza 2,Glow kissed her
LANTERNS BENEATH THE LAKE,Stanza 2,Night held breath
LANTERNS BENEATH THE LAKE,Stanza 2,She walked out on water
LANTERNS BENEATH THE LAKE,Stanza 3,Each step formed by glow
LANTERNS BENEATH THE LAKE,Stanza 3,Her old shapes
LANTERNS BENEATH THE LAKE,Stanza 3,Hands waved from far
LANTERNS BENEATH THE LAKE,Stanza 3,Lit tales below
LANTERNS BENEATH THE LAKE,Stanza 3,She saw war and peace
LANTERNS BENEATH THE LAKE,Stanza 3,Songs lost to time woke
LANTERNS BENEATH THE LAKE,Stanza 3,Eyes met hers
LANTERNS BENEATH THE LAKE,Stanza 3,Lake taught her to see
LANTERNS BENEATH THE LAKE,Stanza 4,She sat at lake core
LANTERNS BENEATH THE LAKE,Stanza 4,All formed one ring
LANTERNS BENEATH THE LAKE,Stanza 4,Their hums shaped soft tale
LANTERNS BENEATH THE LAKE,Stanza 4,Words not for lips spoke
LANTERNS BENEATH THE LAKE,Stanza 4,Truth bent the cold waves
LANTERNS BENEATH THE LAKE,Stanza 4,She her last tear
LANTERNS BENEATH THE LAKE,Stanza 4,It rang like
LANTERNS BENEATH THE LAKE,Stanza 4,Lake smiled and
LANTERNS BENEATH THE LAKE,Stanza 5,She woke on cool shore
LANTERNS BENEATH THE LAKE,Stanza 5,Still in her grip
LANTERNS BENEATH THE LAKE,Stanza 5,Night was gone light stayed
LANTERNS BENEATH THE LAKE,Stanza 5,Now she tends
LANTERNS BENEATH THE LAKE,Stanza 5,With each wish it sings
LANTERNS BENEATH THE LAKE,Stanza 5,No tale ever gets lost
LANTERNS BENEATH THE LAKE,Stanza 5,Each soul leaves one
LANTERNS BENEATH THE LAKE,Stanza 5,Lake grows with
LANTERNS BENEATH THE LAKE,Stanza 5,Still dream on
LANTERNS BENEATH THE LAKE,Stanza 5,Peace floats in calm
