StoryTitle,SectionTitle,Sentence
MOON'S LAST SONG,Stanza 1,The moon hummed low
MOON'S LAST SONG,Stanza 1,Clouds moved slow around her
MOON'S LAST SONG,Stanza 1,She once then
MOON'S LAST SONG,Stanza 1,Stars leaned in
MOON'S LAST SONG,Stanza 1,Her voice like
MOON'S LAST SONG,Stanza 1,A chill ran
MOON'S LAST SONG,Stanza 1,She had one
MOON'S LAST SONG,Stanza 1,And it hurt to
MOON'S LAST SONG,Stanza 2,Oceans to hear notes
MOON'S LAST SONG,Stanza 2,Waves curled back
MOON'S LAST SONG,Stanza 2,Birds flew in silent arcs
MOON'S LAST SONG,Stanza 2,She sang of old times
MOON'S LAST SONG,Stanza 2,Once danced in light
MOON'S LAST SONG,Stanza 2,Fires once burned
MOON'S LAST SONG,Stanza 2,Now she wept in tune
MOON'S LAST SONG,Stanza 2,Each sound a line
MOON'S LAST SONG,Stanza 3,A child heard
MOON'S LAST SONG,Stanza 3,He looked up in awe
MOON'S LAST SONG,Stanza 3,Kissed his bare feet
MOON'S LAST SONG,Stanza 3,He sat in soft
MOON'S LAST SONG,Stanza 3,With hand to
MOON'S LAST SONG,Stanza 3,The song echoed him
MOON'S LAST SONG,Stanza 3,He felt her lonely call
MOON'S LAST SONG,Stanza 3,And wished her not
MOON'S LAST SONG,Stanza 4,The song faded like dust
MOON'S LAST SONG,Stanza 4,Sky turned quiet once more
MOON'S LAST SONG,Stanza 4,Her glow dimmed with pride
MOON'S LAST SONG,Stanza 4,She had sung
MOON'S LAST SONG,Stanza 4,No verse left to
MOON'S LAST SONG,Stanza 4,But stars hummed her tone
MOON'S LAST SONG,Stanza 4,And wind kept
MOON'S LAST SONG,Stanza 4,The boy wept soft below
MOON'S LAST SONG,Stanza 5,He sang the tune back
MOON'S LAST SONG,Stanza 5,It rose beyond
MOON'S LAST SONG,Stanza 5,The moon’s last
MOON'S LAST SONG,Stanza 5,She smiled one final time
MOON'S LAST SONG,Stanza 5,Night held its
MOON'S LAST SONG,Stanza 5,Then light broke the
MOON'S LAST SONG,Stanza 5,A new song was born
MOON'S LAST SONG,Stanza 5,And the moon slept
