StoryTitle,SectionTitle,Sentence
PIES AND PROMISES,Chapter 1,The pie shop like love
PIES AND PROMISES,Chapter 1,Her hands moved with grace
PIES AND PROMISES,Chapter 1,Flour danced across the table
PIES AND PROMISES,Chapter 1,Crusts folded soft and golden
PIES AND PROMISES,Chapter 1,She baked joy into apples
PIES AND PROMISES,Chapter 1,The bell rang with charm
PIES AND PROMISES,Chapter 1,A tall man in
PIES AND PROMISES,Chapter 1,He smiled wide and sweet
PIES AND PROMISES,Chapter 1,Her heart one beat
PIES AND PROMISES,Chapter 1,Need pie? she asked shyly
PIES AND PROMISES,Chapter 2,He came back each week
PIES AND PROMISES,Chapter 2,Always chose the peach pie
PIES AND PROMISES,Chapter 2,Left notes under napkin folds
PIES AND PROMISES,Chapter 2,She read each with blush
PIES AND PROMISES,Chapter 2,He asked her to dance
PIES AND PROMISES,Chapter 2,She said yes doubt
PIES AND PROMISES,Chapter 2,They in flour dust
PIES AND PROMISES,Chapter 2,Pies burned while hearts cooked
PIES AND PROMISES,Chapter 2,"He said, one day soon"
PIES AND PROMISES,Chapter 2,She kept baking with hope
PIES AND PROMISES,Chapter 3,Spring came with pink skies
PIES AND PROMISES,Chapter 3,She baked peach every day
PIES AND PROMISES,Chapter 3,He missed three whole weeks
PIES AND PROMISES,Chapter 3,No notes came with order
PIES AND PROMISES,Chapter 3,She road with dread
PIES AND PROMISES,Chapter 3,Wind no sound back
PIES AND PROMISES,Chapter 3,Rain tapped soft on glass
PIES AND PROMISES,Chapter 3,She wrote his name in crust
PIES AND PROMISES,Chapter 3,It burned black in heat
PIES AND PROMISES,Chapter 3,She cried behind the shelf
PIES AND PROMISES,Chapter 4,One note came on
PIES AND PROMISES,Chapter 4,Not his but firm
PIES AND PROMISES,Chapter 4,"Said, he’s gone for now"
PIES AND PROMISES,Chapter 4,She read it over again
PIES AND PROMISES,Chapter 4,Left the shop door closed
PIES AND PROMISES,Chapter 4,Window sign to rest
PIES AND PROMISES,Chapter 4,She baked that night
PIES AND PROMISES,Chapter 4,Clock ticked loud in dark
PIES AND PROMISES,Chapter 4,Dust grew on peach jars
PIES AND PROMISES,Chapter 4,Hope felt lost and stale
PIES AND PROMISES,Chapter 5,She woke with fresh light
PIES AND PROMISES,Chapter 5,The shop with care
PIES AND PROMISES,Chapter 5,Made pie just for her
PIES AND PROMISES,Chapter 5,No guests came that day
PIES AND PROMISES,Chapter 5,But scent filled the lane
PIES AND PROMISES,Chapter 5,Kids ran to the door
PIES AND PROMISES,Chapter 5,She served pie with smile
PIES AND PROMISES,Chapter 5,Spread of her
PIES AND PROMISES,Chapter 5,Shop glowed with soft pride
PIES AND PROMISES,Chapter 5,Hope warmed like apple glaze
PIES AND PROMISES,Chapter 6,She saw him one noon
PIES AND PROMISES,Chapter 6,"Hair short, eyes deep gray"
PIES AND PROMISES,Chapter 6,He looked thin but calm
PIES AND PROMISES,Chapter 6,Held pie box in hands
PIES AND PROMISES,Chapter 6,"I kept it warm, he said"
PIES AND PROMISES,Chapter 6,They sat on porch steps
PIES AND PROMISES,Chapter 6,Split one slice in
PIES AND PROMISES,Chapter 6,Words came soft and slow
PIES AND PROMISES,Chapter 6,"I was lost, now back"
PIES AND PROMISES,Chapter 6,She gave him gentle nod
PIES AND PROMISES,Chapter 7,They walked home past trees
PIES AND PROMISES,Chapter 7,Spoke of dreams and change
PIES AND PROMISES,Chapter 7,He showed maps he drew
PIES AND PROMISES,Chapter 7,Each had pie mark placed
PIES AND PROMISES,Chapter 7,A truck turned corner fast
PIES AND PROMISES,Chapter 7,He yelled and pushed her
PIES AND PROMISES,Chapter 7,She hit ground with cry
PIES AND PROMISES,Chapter 7,He lay still in street
PIES AND PROMISES,Chapter 7,Pie box rolled to curb
PIES AND PROMISES,Chapter 7,Peach juice mixed with red
PIES AND PROMISES,Chapter 8,Weeks passed with long hours
PIES AND PROMISES,Chapter 8,She him every day
PIES AND PROMISES,Chapter 8,Of sugar air
PIES AND PROMISES,Chapter 8,She baked by his bed
PIES AND PROMISES,Chapter 8,He woke with lips
PIES AND PROMISES,Chapter 8,Smiled and took her hand
PIES AND PROMISES,Chapter 8,I kept my love
PIES AND PROMISES,Chapter 8,She with tear eyes
PIES AND PROMISES,Chapter 8,One pie saved two lives
PIES AND PROMISES,Chapter 8,They held hands in bloom
PIES AND PROMISES,Chapter 9,The shop became a light
PIES AND PROMISES,Chapter 9,Guests came from far towns
PIES AND PROMISES,Chapter 9,Each told her new story
PIES AND PROMISES,Chapter 9,She gave pie and smiles
PIES AND PROMISES,Chapter 9,He fixed chairs and signs
PIES AND PROMISES,Chapter 9,They danced each shift
PIES AND PROMISES,Chapter 9,Notes now pinned on wall
PIES AND PROMISES,Chapter 9,Kids helped roll soft dough
PIES AND PROMISES,Chapter 9,Fame grew but felt sweet
PIES AND PROMISES,Chapter 9,Their love baked in crust
PIES AND PROMISES,Chapter 10,Years later they still bake
PIES AND PROMISES,Chapter 10,Hair gray but eyes bright
PIES AND PROMISES,Chapter 10,A pie for each season
PIES AND PROMISES,Chapter 10,A story with every slice
PIES AND PROMISES,Chapter 10,Notes fill old recipe books
PIES AND PROMISES,Chapter 10,They laugh over peach jokes
PIES AND PROMISES,Chapter 10,He hums while fruit
PIES AND PROMISES,Chapter 10,She winks at each guest
PIES AND PROMISES,Chapter 10,Love smells like warm pie
PIES AND PROMISES,Chapter 10,A kept in gold
