StoryTitle,SectionTitle,Sentence
RAIN KNOWS MY NAME,Stanza 1,Rain tapped on
RAIN KNOWS MY NAME,Stanza 1,Not storm not soft
RAIN KNOWS MY NAME,Stanza 1,Each drop called
RAIN KNOWS MY NAME,Stanza 1,I stood by
RAIN KNOWS MY NAME,Stanza 1,Wind scents of
RAIN KNOWS MY NAME,Stanza 1,Dirt rose like old
RAIN KNOWS MY NAME,Stanza 1,Sky wore my
RAIN KNOWS MY NAME,Stanza 1,Spoke in my tone
RAIN KNOWS MY NAME,Stanza 2,The rain words faint
RAIN KNOWS MY NAME,Stanza 2,Formed in window mist
RAIN KNOWS MY NAME,Stanza 2,My name curved
RAIN KNOWS MY NAME,Stanza 2,A face and
RAIN KNOWS MY NAME,Stanza 2,Could storms learn our truth
RAIN KNOWS MY NAME,Stanza 2,Do clouds carry our
RAIN KNOWS MY NAME,Stanza 2,I my name
RAIN KNOWS MY NAME,Stanza 2,It washed down like tears
RAIN KNOWS MY NAME,Stanza 2,The wind knew too
RAIN KNOWS MY NAME,Stanza 3,I ran into the street
RAIN KNOWS MY NAME,Stanza 3,My unsure eyes
RAIN KNOWS MY NAME,Stanza 3,Boots sank deep in
RAIN KNOWS MY NAME,Stanza 3,Sky with hidden
RAIN KNOWS MY NAME,Stanza 3,Rain held no hate
RAIN KNOWS MY NAME,Stanza 3,Just memory and
RAIN KNOWS MY NAME,Stanza 3,I let it soak
RAIN KNOWS MY NAME,Stanza 3,Each drop a soft
RAIN KNOWS MY NAME,Stanza 3,I with still steps
RAIN KNOWS MY NAME,Stanza 4,It rained on my hands
RAIN KNOWS MY NAME,Stanza 4,Like her touch long ago
RAIN KNOWS MY NAME,Stanza 4,That day we said
RAIN KNOWS MY NAME,Stanza 4,The rain came then too
RAIN KNOWS MY NAME,Stanza 4,But i was too dry
RAIN KNOWS MY NAME,Stanza 4,Now i feel it full
RAIN KNOWS MY NAME,Stanza 4,Each sound wraps
RAIN KNOWS MY NAME,Stanza 4,Like arms made of water
RAIN KNOWS MY NAME,Stanza 4,She knew so does sky
RAIN KNOWS MY NAME,Stanza 5,Rain knows where i sleep
RAIN KNOWS MY NAME,Stanza 5,It hums each
RAIN KNOWS MY NAME,Stanza 5,My name in rhythm
RAIN KNOWS MY NAME,Stanza 5,I dream in mist
RAIN KNOWS MY NAME,Stanza 5,When it stops i wake
RAIN KNOWS MY NAME,Stanza 5,Wait for it
RAIN KNOWS MY NAME,Stanza 5,Rain still me
RAIN KNOWS MY NAME,Stanza 5,And i it back
RAIN KNOWS MY NAME,Stanza 5,We speak saying much
