StoryTitle,SectionTitle,Sentence
ROOTS THAT REMEMBER,Stanza 1,The trees stood still
ROOTS THAT REMEMBER,Stanza 1,No wind yet
ROOTS THAT REMEMBER,Stanza 1,Roots under soft moss
ROOTS THAT REMEMBER,Stanza 1,A hum rose
ROOTS THAT REMEMBER,Stanza 1,The earth each
ROOTS THAT REMEMBER,Stanza 1,Each step left a mark
ROOTS THAT REMEMBER,Stanza 1,Old the soil
ROOTS THAT REMEMBER,Stanza 1,Names carved deep in bark
ROOTS THAT REMEMBER,Stanza 2,She knelt by the trunk
ROOTS THAT REMEMBER,Stanza 2,Heard voices in the
ROOTS THAT REMEMBER,Stanza 2,They spoke in fading tone
ROOTS THAT REMEMBER,Stanza 2,Some wept some
ROOTS THAT REMEMBER,Stanza 2,Her hand warm bark
ROOTS THAT REMEMBER,Stanza 2,The tree shook in reply
ROOTS THAT REMEMBER,Stanza 2,Time flowed its rings
ROOTS THAT REMEMBER,Stanza 2,It told in thumps
ROOTS THAT REMEMBER,Stanza 2,Of joy grief and loss
ROOTS THAT REMEMBER,Stanza 3,A child once here
ROOTS THAT REMEMBER,Stanza 3,Now grown gone with dust
ROOTS THAT REMEMBER,Stanza 3,Roots kept his
ROOTS THAT REMEMBER,Stanza 3,Her traced the path
ROOTS THAT REMEMBER,Stanza 3,A swing rope still hung
ROOTS THAT REMEMBER,Stanza 3,It any wind
ROOTS THAT REMEMBER,Stanza 3,She felt the
ROOTS THAT REMEMBER,Stanza 3,The bark with echoes
ROOTS THAT REMEMBER,Stanza 3,Memory from dirt
ROOTS THAT REMEMBER,Stanza 4,Storms had not killed
ROOTS THAT REMEMBER,Stanza 4,Fire burned but
ROOTS THAT REMEMBER,Stanza 4,Roots drank from old
ROOTS THAT REMEMBER,Stanza 4,Seeds sang quiet soil
ROOTS THAT REMEMBER,Stanza 4,Even ash told its part
ROOTS THAT REMEMBER,Stanza 4,The tree was more
ROOTS THAT REMEMBER,Stanza 4,With every name still
ROOTS THAT REMEMBER,Stanza 4,Each root a hidden record
ROOTS THAT REMEMBER,Stanza 4,She sat in its heart
ROOTS THAT REMEMBER,Stanza 5,When she left tree hummed
ROOTS THAT REMEMBER,Stanza 5,Wind picked up
ROOTS THAT REMEMBER,Stanza 5,It joined the
ROOTS THAT REMEMBER,Stanza 5,Now her story flows deep
ROOTS THAT REMEMBER,Stanza 5,Birds sing it
ROOTS THAT REMEMBER,Stanza 5,Rain taps it in
ROOTS THAT REMEMBER,Stanza 5,The roots will always
ROOTS THAT REMEMBER,Stanza 5,Even when we
ROOTS THAT REMEMBER,Stanza 5,Memory waits our feet
