StoryTitle,SectionTitle,Sentence
SMILES FOR SALE,Chapter 1,Each smile had a price
SMILES FOR SALE,Chapter 1,Shops sold joy in jars
SMILES FOR SALE,Chapter 1,Coins for tiny grins
SMILES FOR SALE,Chapter 1,Big laughs cost much more
SMILES FOR SALE,Chapter 1,The poor wore blank masks
SMILES FOR SALE,Chapter 1,He hadn't smiled in years
SMILES FOR SALE,Chapter 1,His face felt tight always
SMILES FOR SALE,Chapter 1,One crack meant prison time
SMILES FOR SALE,Chapter 1,'buy a smile'
SMILES FOR SALE,Chapter 1,He walked past in
SMILES FOR SALE,Chapter 2,Smiles were by law
SMILES FOR SALE,Chapter 2,Your face logged each twitch
SMILES FOR SALE,Chapter 2,Frowns cost five happy coins
SMILES FOR SALE,Chapter 2,Kids to fake
SMILES FOR SALE,Chapter 2,He worked in zone
SMILES FOR SALE,Chapter 2,"No jokes, no wide grins"
SMILES FOR SALE,Chapter 2,Boss wore rented mega smile
SMILES FOR SALE,Chapter 2,It at sharp
SMILES FOR SALE,Chapter 2,He saved coins for smirk
SMILES FOR SALE,Chapter 2,Still fell short each week
SMILES FOR SALE,Chapter 3,A crack formed last
SMILES FOR SALE,Chapter 3,He it with tape
SMILES FOR SALE,Chapter 3,Mirror warned him of fine
SMILES FOR SALE,Chapter 3,Just too loud
SMILES FOR SALE,Chapter 3,He knew they faked joy
SMILES FOR SALE,Chapter 3,One kid never
SMILES FOR SALE,Chapter 3,But his eyes looked gone
SMILES FOR SALE,Chapter 3,The boy 'help me'
SMILES FOR SALE,Chapter 3,He looked away too fast
SMILES FOR SALE,Chapter 3,Guilt cost him ten coins
SMILES FOR SALE,Chapter 4,Black market sold true joy
SMILES FOR SALE,Chapter 4,In laughs were real
SMILES FOR SALE,Chapter 4,One giggle lit a room
SMILES FOR SALE,Chapter 4,It warmed deeper than
SMILES FOR SALE,Chapter 4,He traded boots for one
SMILES FOR SALE,Chapter 4,First true smile in years
SMILES FOR SALE,Chapter 4,It his mask open
SMILES FOR SALE,Chapter 4,He till knees
SMILES FOR SALE,Chapter 4,Guards rushed with loud drones
SMILES FOR SALE,Chapter 4,He ran into fog
SMILES FOR SALE,Chapter 5,He joined the smile rebels
SMILES FOR SALE,Chapter 5,They wore no tech gear
SMILES FOR SALE,Chapter 5,"Faces raw, voices sharp clear"
SMILES FOR SALE,Chapter 5,Each grin felt like gold
SMILES FOR SALE,Chapter 5,They hacked with jokes
SMILES FOR SALE,Chapter 5,Crowds stared then softly
SMILES FOR SALE,Chapter 5,Police in hard
SMILES FOR SALE,Chapter 5,One smile broke a drone
SMILES FOR SALE,Chapter 5,Echoed deep vents
SMILES FOR SALE,Chapter 5,He felt alive and true
SMILES FOR SALE,Chapter 6,The system fought back fast
SMILES FOR SALE,Chapter 6,Fake joy ads spread harder
SMILES FOR SALE,Chapter 6,Laugh hours weekly
SMILES FOR SALE,Chapter 6,He missed curfew once again
SMILES FOR SALE,Chapter 6,Smile tax his
SMILES FOR SALE,Chapter 6,But rebels sang sewers
SMILES FOR SALE,Chapter 6,Their tune broke brain scans
SMILES FOR SALE,Chapter 6,He smiled mid check gate
SMILES FOR SALE,Chapter 6,They him red level
SMILES FOR SALE,Chapter 6,He bowed and quick
SMILES FOR SALE,Chapter 7,He hid in old subway
SMILES FOR SALE,Chapter 7,Walls with wide grins
SMILES FOR SALE,Chapter 7,Found of real
SMILES FOR SALE,Chapter 7,It was last year
SMILES FOR SALE,Chapter 7,"Jokes, joy games"
SMILES FOR SALE,Chapter 7,He copied it to paper
SMILES FOR SALE,Chapter 7,Spread pages dark city
SMILES FOR SALE,Chapter 7,Each one warm smile
SMILES FOR SALE,Chapter 7,People thanks in secret
SMILES FOR SALE,Chapter 7,The truth had begun
SMILES FOR SALE,Chapter 8,Kids happy signs
SMILES FOR SALE,Chapter 8,One sang on live air
SMILES FOR SALE,Chapter 8,Crowd on full stream
SMILES FOR SALE,Chapter 8,Froze from pure
SMILES FOR SALE,Chapter 8,Bosses in their towers
SMILES FOR SALE,Chapter 8,He with proud heart
SMILES FOR SALE,Chapter 8,They stop the echo
SMILES FOR SALE,Chapter 8,Joy flowed a price
SMILES FOR SALE,Chapter 8,Smile shops closed by
SMILES FOR SALE,Chapter 8,Old laws in sun
SMILES FOR SALE,Chapter 9,The new world soft
SMILES FOR SALE,Chapter 9,Smiles shared like water cups
SMILES FOR SALE,Chapter 9,No coin for joy now
SMILES FOR SALE,Chapter 9,Cured aches and fears
SMILES FOR SALE,Chapter 9,He taught kids old jokes
SMILES FOR SALE,Chapter 9,Said: 'this one’s free today'
SMILES FOR SALE,Chapter 9,Even guards joined his skits
SMILES FOR SALE,Chapter 9,One cried from deep
SMILES FOR SALE,Chapter 9,Joy now filled every square
SMILES FOR SALE,Chapter 9,No one sold smiles again
SMILES FOR SALE,Chapter 10,Statue rose of open laugh
SMILES FOR SALE,Chapter 10,His name carved in joy
SMILES FOR SALE,Chapter 10,Tales told of brave grin
SMILES FOR SALE,Chapter 10,No tech smiles now
SMILES FOR SALE,Chapter 10,Kids born with full hearts
SMILES FOR SALE,Chapter 10,He sat with wide grin
SMILES FOR SALE,Chapter 10,Old mask hung on wall
SMILES FOR SALE,Chapter 10,Wind soft jokes far
SMILES FOR SALE,Chapter 10,World healed silly truth
SMILES FOR SALE,Chapter 10,A smile saved them all
