StoryTitle,SectionTitle,Sentence
THE CLOCK THAT LIED,Stanza 1,The clock ticked out lies
THE CLOCK THAT LIED,Stanza 1,Each sound bent
THE CLOCK THAT LIED,Stanza 1,It over pain
THE CLOCK THAT LIED,Stanza 1,Paused when joy came
THE CLOCK THAT LIED,Stanza 1,Its hands spun too fast
THE CLOCK THAT LIED,Stanza 1,Then slowed when i cried
THE CLOCK THAT LIED,Stanza 1,The face smiled cause
THE CLOCK THAT LIED,Stanza 1,I stared and it
THE CLOCK THAT LIED,Stanza 2,It told me noon
THE CLOCK THAT LIED,Stanza 2,But still grew long
THE CLOCK THAT LIED,Stanza 2,Said sleep time at noon
THE CLOCK THAT LIED,Stanza 2,I yawned and it
THE CLOCK THAT LIED,Stanza 2,Next day felt like years
THE CLOCK THAT LIED,Stanza 2,Then years passed
THE CLOCK THAT LIED,Stanza 2,I lost count of
THE CLOCK THAT LIED,Stanza 2,Time melted off the wall
THE CLOCK THAT LIED,Stanza 2,Even my watch
THE CLOCK THAT LIED,Stanza 3,Aged in wrong
THE CLOCK THAT LIED,Stanza 3,My dog grew young again
THE CLOCK THAT LIED,Stanza 3,Mom forgot her own age
THE CLOCK THAT LIED,Stanza 3,School lasted only ten
THE CLOCK THAT LIED,Stanza 3,Then lunch took
THE CLOCK THAT LIED,Stanza 3,The bell rang too early
THE CLOCK THAT LIED,Stanza 3,Time was just a
THE CLOCK THAT LIED,Stanza 3,We played it got burned
THE CLOCK THAT LIED,Stanza 3,The clock knew our
THE CLOCK THAT LIED,Stanza 4,I asked who
THE CLOCK THAT LIED,Stanza 4,Some said it came
THE CLOCK THAT LIED,Stanza 4,Others blamed it on sky
THE CLOCK THAT LIED,Stanza 4,One boy it
THE CLOCK THAT LIED,Stanza 4,I tried to smash it
THE CLOCK THAT LIED,Stanza 4,But it dodged like breath
THE CLOCK THAT LIED,Stanza 4,It rang inside my
THE CLOCK THAT LIED,Stanza 4,Told me ‘i am
THE CLOCK THAT LIED,Stanza 4,I cried and it
THE CLOCK THAT LIED,Stanza 5,Now i wear no
THE CLOCK THAT LIED,Stanza 5,Just let sky guide me
THE CLOCK THAT LIED,Stanza 5,Gives me real clues
THE CLOCK THAT LIED,Stanza 5,Wind tells me when rest
THE CLOCK THAT LIED,Stanza 5,I burned the lying
THE CLOCK THAT LIED,Stanza 5,But hear it some
THE CLOCK THAT LIED,Stanza 5,It ticks in my
THE CLOCK THAT LIED,Stanza 5,Still what i
THE CLOCK THAT LIED,Stanza 5,But i don’t follow
THE CLOCK THAT LIED,Stanza 5,I walk my
