StoryTitle,SectionTitle,Sentence
THE CLOCK WITHOUT HANDS,Stanza 1,It stood tall in
THE CLOCK WITHOUT HANDS,Stanza 1,Clock face wide smooth
THE CLOCK WITHOUT HANDS,Stanza 1,No hands to show time
THE CLOCK WITHOUT HANDS,Stanza 1,Yet it ticked in air
THE CLOCK WITHOUT HANDS,Stanza 1,Folk passed heard low hum
THE CLOCK WITHOUT HANDS,Stanza 1,None dared to stare long
THE CLOCK WITHOUT HANDS,Stanza 1,Old tales warned
THE CLOCK WITHOUT HANDS,Stanza 1,Each chime bent one
THE CLOCK WITHOUT HANDS,Stanza 2,A girl the glass
THE CLOCK WITHOUT HANDS,Stanza 2,It warmed like soft skin
THE CLOCK WITHOUT HANDS,Stanza 2,Glow danced near
THE CLOCK WITHOUT HANDS,Stanza 2,Time peeled open in hush
THE CLOCK WITHOUT HANDS,Stanza 2,She saw days fade slow
THE CLOCK WITHOUT HANDS,Stanza 2,Then nights to
THE CLOCK WITHOUT HANDS,Stanza 2,Her name sang from gears
THE CLOCK WITHOUT HANDS,Stanza 2,Clock held her lost self
THE CLOCK WITHOUT HANDS,Stanza 3,Years ran in
THE CLOCK WITHOUT HANDS,Stanza 3,She walked path of
THE CLOCK WITHOUT HANDS,Stanza 3,One step sweet dawn
THE CLOCK WITHOUT HANDS,Stanza 3,Next loss kissed
THE CLOCK WITHOUT HANDS,Stanza 3,Then joy spun near
THE CLOCK WITHOUT HANDS,Stanza 3,Dark came then light fast
THE CLOCK WITHOUT HANDS,Stanza 3,Each breath held two
THE CLOCK WITHOUT HANDS,Stanza 3,Time was not a line
THE CLOCK WITHOUT HANDS,Stanza 4,She met her old shade
THE CLOCK WITHOUT HANDS,Stanza 4,It smiled held her fear
THE CLOCK WITHOUT HANDS,Stanza 4,Truth was not
THE CLOCK WITHOUT HANDS,Stanza 4,But in beats and laughs
THE CLOCK WITHOUT HANDS,Stanza 4,She all her ticks
THE CLOCK WITHOUT HANDS,Stanza 4,Pain made peace feel wide
THE CLOCK WITHOUT HANDS,Stanza 4,Clock turned once
THE CLOCK WITHOUT HANDS,Stanza 4,Then gave her a path
THE CLOCK WITHOUT HANDS,Stanza 5,She left with no weight
THE CLOCK WITHOUT HANDS,Stanza 5,The clock hummed then
THE CLOCK WITHOUT HANDS,Stanza 5,No sound no light stayed
THE CLOCK WITHOUT HANDS,Stanza 5,But floor still held warmth
THE CLOCK WITHOUT HANDS,Stanza 5,Folk felt calm pass
THE CLOCK WITHOUT HANDS,Stanza 5,They smiled with no
THE CLOCK WITHOUT HANDS,Stanza 5,The clock taught hands
THE CLOCK WITHOUT HANDS,Stanza 5,And time bowed
THE CLOCK WITHOUT HANDS,Stanza 5,Now peace rings the space
THE CLOCK WITHOUT HANDS,Stanza 5,Holds the full
