StoryTitle,SectionTitle,Sentence
THE CLOUD AND THE KEY,Stanza 1,A cloud held one
THE CLOUD AND THE KEY,Stanza 1,Round soft near the sun
THE CLOUD AND THE KEY,Stanza 1,It hid more than
THE CLOUD AND THE KEY,Stanza 1,It hid a
THE CLOUD AND THE KEY,Stanza 1,Birds flew near
THE CLOUD AND THE KEY,Stanza 1,The wind spoke
THE CLOUD AND THE KEY,Stanza 1,Sky then stayed pale
THE CLOUD AND THE KEY,Stanza 1,One child stared for
THE CLOUD AND THE KEY,Stanza 2,The key shone
THE CLOUD AND THE KEY,Stanza 2,Dreams moved inside its
THE CLOUD AND THE KEY,Stanza 2,No hand could touch
THE CLOUD AND THE KEY,Stanza 2,Only wish could draw
THE CLOUD AND THE KEY,Stanza 2,The child wished so deep
THE CLOUD AND THE KEY,Stanza 2,A tear called the breeze
THE CLOUD AND THE KEY,Stanza 2,Cloud bent low
THE CLOUD AND THE KEY,Stanza 2,Then the small key
THE CLOUD AND THE KEY,Stanza 3,The key fit no door
THE CLOUD AND THE KEY,Stanza 3,But trees bowed in
THE CLOUD AND THE KEY,Stanza 3,Rocks hummed a faint tune
THE CLOUD AND THE KEY,Stanza 3,Her feet found light
THE CLOUD AND THE KEY,Stanza 3,She held hope and
THE CLOUD AND THE KEY,Stanza 3,A map grew
THE CLOUD AND THE KEY,Stanza 3,Each step lit with gold
THE CLOUD AND THE KEY,Stanza 3,She knew not her end
THE CLOUD AND THE KEY,Stanza 4,The path led to
THE CLOUD AND THE KEY,Stanza 4,It wept when she
THE CLOUD AND THE KEY,Stanza 4,Key turned in dry air
THE CLOUD AND THE KEY,Stanza 4,A lock she could not
THE CLOUD AND THE KEY,Stanza 4,Light burst soft and wide
THE CLOUD AND THE KEY,Stanza 4,A voice sang her
THE CLOUD AND THE KEY,Stanza 4,The air felt like
THE CLOUD AND THE KEY,Stanza 4,All wrongs left her bones
THE CLOUD AND THE KEY,Stanza 5,She key in
THE CLOUD AND THE KEY,Stanza 5,Cloud rose now pure
THE CLOUD AND THE KEY,Stanza 5,Key broke into bright wings
THE CLOUD AND THE KEY,Stanza 5,They flew past all stars
THE CLOUD AND THE KEY,Stanza 5,Sky held no
THE CLOUD AND THE KEY,Stanza 5,Each dream free
THE CLOUD AND THE KEY,Stanza 5,Child smiled at the
THE CLOUD AND THE KEY,Stanza 5,Wind kissed her small hand
THE CLOUD AND THE KEY,Stanza 5,Hope now lives
THE CLOUD AND THE KEY,Stanza 5,The key made her whole
