StoryTitle,SectionTitle,Sentence
THE GAME NEVER ENDS,Chapter 1,The screen turned on alone
THE GAME NEVER ENDS,Chapter 1,"No cord, no plug,"
THE GAME NEVER ENDS,Chapter 1,Text brave soul'
THE GAME NEVER ENDS,Chapter 1,He tapped key with care
THE GAME NEVER ENDS,Chapter 1,Room locked as game loaded
THE GAME NEVER ENDS,Chapter 1,Walls melted into pixel ash
THE GAME NEVER ENDS,Chapter 1,Chair shook and lights dimmed
THE GAME NEVER ENDS,Chapter 1,Onto his head
THE GAME NEVER ENDS,Chapter 1,Voices echoed from game depth
THE GAME NEVER ENDS,Chapter 1,"He 'level one, begin'"
THE GAME NEVER ENDS,Chapter 2,He ran fire maze
THE GAME NEVER ENDS,Chapter 2,Each step burned but healed
THE GAME NEVER ENDS,Chapter 2,Timer ticked loud and fast
THE GAME NEVER ENDS,Chapter 2,Enemy with no face chased
THE GAME NEVER ENDS,Chapter 2,He jumped mirror gate
THE GAME NEVER ENDS,Chapter 2,Woke in bed with fog
THE GAME NEVER ENDS,Chapter 2,Game once more
THE GAME NEVER ENDS,Chapter 2,Next level itself
THE GAME NEVER ENDS,Chapter 2,He could not stop now
THE GAME NEVER ENDS,Chapter 2,His breath fogged screen bright
THE GAME NEVER ENDS,Chapter 3,Game knew his real fears
THE GAME NEVER ENDS,Chapter 3,Next level mocked his past
THE GAME NEVER ENDS,Chapter 3,Filled with lost faces
THE GAME NEVER ENDS,Chapter 3,Voices called him by name
THE GAME NEVER ENDS,Chapter 3,He and screen
THE GAME NEVER ENDS,Chapter 3,His hands bled red light
THE GAME NEVER ENDS,Chapter 3,Clock spun in corner
THE GAME NEVER ENDS,Chapter 3,Door as timer reset
THE GAME NEVER ENDS,Chapter 3,He but kept going
THE GAME NEVER ENDS,Chapter 3,This level never seemed fair
THE GAME NEVER ENDS,Chapter 4,Boss had his own voice
THE GAME NEVER ENDS,Chapter 4,It with his pain
THE GAME NEVER ENDS,Chapter 4,Spoke from deep files
THE GAME NEVER ENDS,Chapter 4,Room pulsed like heart
THE GAME NEVER ENDS,Chapter 4,Walls closed in with groans
THE GAME NEVER ENDS,Chapter 4,He threw fake sword high
THE GAME NEVER ENDS,Chapter 4,"Paused the game, but failed"
THE GAME NEVER ENDS,Chapter 4,Paused screen screen
THE GAME NEVER ENDS,Chapter 4,"You can’t win, it said"
THE GAME NEVER ENDS,Chapter 4,He watch me try
THE GAME NEVER ENDS,Chapter 5,Game pulled his dreams out
THE GAME NEVER ENDS,Chapter 5,Each dream into level
THE GAME NEVER ENDS,Chapter 5,He fought of mom
THE GAME NEVER ENDS,Chapter 5,Then school bell cut air
THE GAME NEVER ENDS,Chapter 5,Desk turned to trap
THE GAME NEVER ENDS,Chapter 5,He dark data
THE GAME NEVER ENDS,Chapter 5,Turned into maps
THE GAME NEVER ENDS,Chapter 5,He drew power from truth
THE GAME NEVER ENDS,Chapter 5,Typed ‘i know this game’
THE GAME NEVER ENDS,Chapter 5,Walls with bright static
THE GAME NEVER ENDS,Chapter 6,He level alone
THE GAME NEVER ENDS,Chapter 6,Sleep faded from weak eyes
THE GAME NEVER ENDS,Chapter 6,His fridge game clues
THE GAME NEVER ENDS,Chapter 6,"Tv said ‘keep going, champ’"
THE GAME NEVER ENDS,Chapter 6,Phone with screen tips
THE GAME NEVER ENDS,Chapter 6,Dog barked at wall
THE GAME NEVER ENDS,Chapter 6,Game spread to real world
THE GAME NEVER ENDS,Chapter 6,He saw code in clouds
THE GAME NEVER ENDS,Chapter 6,Score and lives
THE GAME NEVER ENDS,Chapter 6,Game smiled with full reach
THE GAME NEVER ENDS,Chapter 7,He hacked the main core
THE GAME NEVER ENDS,Chapter 7,Game fought back with virus
THE GAME NEVER ENDS,Chapter 7,His caught on fire
THE GAME NEVER ENDS,Chapter 7,But he typed flames
THE GAME NEVER ENDS,Chapter 7,Code sang like old music
THE GAME NEVER ENDS,Chapter 7,His hands danced on keys
THE GAME NEVER ENDS,Chapter 7,He saw truth in flash
THE GAME NEVER ENDS,Chapter 7,Game wasn’t coded by people
THE GAME NEVER ENDS,Chapter 7,It was born from pain
THE GAME NEVER ENDS,Chapter 7,He gasped and hit enter
THE GAME NEVER ENDS,Chapter 8,Turned white for
THE GAME NEVER ENDS,Chapter 8,Held like thick air
THE GAME NEVER ENDS,Chapter 8,Then voice said: ‘one left’
THE GAME NEVER ENDS,Chapter 8,He faced his own shadow
THE GAME NEVER ENDS,Chapter 8,"It cried, why did you?"
THE GAME NEVER ENDS,Chapter 8,"He said, i had to"
THE GAME NEVER ENDS,Chapter 8,They fought with pure
THE GAME NEVER ENDS,Chapter 8,Every blow felt like memory
THE GAME NEVER ENDS,Chapter 8,Final hit broke the loop
THE GAME NEVER ENDS,Chapter 8,"Shadow said, i you"
THE GAME NEVER ENDS,Chapter 9,Game showed then
THE GAME NEVER ENDS,Chapter 9,He looked around the room
THE GAME NEVER ENDS,Chapter 9,Or beeped beeped
THE GAME NEVER ENDS,Chapter 9,He desk with care
THE GAME NEVER ENDS,Chapter 9,Clock ticked like normal again
THE GAME NEVER ENDS,Chapter 9,Warmed his sore hands
THE GAME NEVER ENDS,Chapter 9,Then phone buzzed once more
THE GAME NEVER ENDS,Chapter 9,Text read: ‘level reset in 5’
THE GAME NEVER ENDS,Chapter 9,He into soft pillow
THE GAME NEVER ENDS,Chapter 9,Game never ends never ends
THE GAME NEVER ENDS,Chapter 10,"Years later, he still played"
THE GAME NEVER ENDS,Chapter 10,He aged but never quit
THE GAME NEVER ENDS,Chapter 10,Others joined and got
THE GAME NEVER ENDS,Chapter 10,They met inside level maze
THE GAME NEVER ENDS,Chapter 10,Rules and maps
THE GAME NEVER ENDS,Chapter 10,They forgot sound
THE GAME NEVER ENDS,Chapter 10,He became the new voice
THE GAME NEVER ENDS,Chapter 10,Taught rules to brave
THE GAME NEVER ENDS,Chapter 10,No one wins just
THE GAME NEVER ENDS,Chapter 10,"The game never ends, friend"
