StoryTitle,SectionTitle,Sentence
THE GARDEN AT WORLD'S EDGE,Stanza 1,Beyond hills past the mist
THE GARDEN AT WORLD'S EDGE,Stanza 1,A gate carved from stone
THE GARDEN AT WORLD'S EDGE,Stanza 1,Vines climb with soft
THE GARDEN AT WORLD'S EDGE,Stanza 1,Petals hum when
THE GARDEN AT WORLD'S EDGE,Stanza 1,No maps show
THE GARDEN AT WORLD'S EDGE,Stanza 1,Wind guards what roots
THE GARDEN AT WORLD'S EDGE,Stanza 1,Time bends near its trees
THE GARDEN AT WORLD'S EDGE,Stanza 1,Sun sets in
THE GARDEN AT WORLD'S EDGE,Stanza 2,A child finds
THE GARDEN AT WORLD'S EDGE,Stanza 2,It opens with a
THE GARDEN AT WORLD'S EDGE,Stanza 2,Mute on moss bed
THE GARDEN AT WORLD'S EDGE,Stanza 2,Leaves curl to greet her
THE GARDEN AT WORLD'S EDGE,Stanza 2,She picks one glass bud
THE GARDEN AT WORLD'S EDGE,Stanza 2,It melts into her skin
THE GARDEN AT WORLD'S EDGE,Stanza 2,Garden knows her by name
THE GARDEN AT WORLD'S EDGE,Stanza 2,She walks with no
THE GARDEN AT WORLD'S EDGE,Stanza 3,Fruits glow red
THE GARDEN AT WORLD'S EDGE,Stanza 3,Each bite shows a truth
THE GARDEN AT WORLD'S EDGE,Stanza 3,Some sour with past pain
THE GARDEN AT WORLD'S EDGE,Stanza 3,Others sweet like
THE GARDEN AT WORLD'S EDGE,Stanza 3,A pond holds sky shards
THE GARDEN AT WORLD'S EDGE,Stanza 3,Birds hum tunes not known
THE GARDEN AT WORLD'S EDGE,Stanza 3,Even stones shift
THE GARDEN AT WORLD'S EDGE,Stanza 3,Edge of world
THE GARDEN AT WORLD'S EDGE,Stanza 4,She meets one lone
THE GARDEN AT WORLD'S EDGE,Stanza 4,Its trunk with years
THE GARDEN AT WORLD'S EDGE,Stanza 4,It speaks not with words
THE GARDEN AT WORLD'S EDGE,Stanza 4,But in dreams and smell
THE GARDEN AT WORLD'S EDGE,Stanza 4,Roots show her the
THE GARDEN AT WORLD'S EDGE,Stanza 4,A bloom vast
THE GARDEN AT WORLD'S EDGE,Stanza 4,Lights bloom from her chest
THE GARDEN AT WORLD'S EDGE,Stanza 4,She kneels plants her wish
THE GARDEN AT WORLD'S EDGE,Stanza 5,Now she tends
THE GARDEN AT WORLD'S EDGE,Stanza 5,Her breath keeps vines green
THE GARDEN AT WORLD'S EDGE,Stanza 5,World bends to
THE GARDEN AT WORLD'S EDGE,Stanza 5,Sky shifts when
THE GARDEN AT WORLD'S EDGE,Stanza 5,Garden safe from
THE GARDEN AT WORLD'S EDGE,Stanza 5,All who seek can rest
THE GARDEN AT WORLD'S EDGE,Stanza 5,Each soul leaves a leaf
THE GARDEN AT WORLD'S EDGE,Stanza 5,At edge life blooms
THE GARDEN AT WORLD'S EDGE,Stanza 5,No end just
THE GARDEN AT WORLD'S EDGE,Stanza 5,Peace grows in her soil
