StoryTitle,SectionTitle,Sentence
THE GIRL WHO DREW STARS,Stanza 1,Night fell on wide
THE GIRL WHO DREW STARS,Stanza 1,A girl drew
THE GIRL WHO DREW STARS,Stanza 1,Each mark held
THE GIRL WHO DREW STARS,Stanza 1,Her chalk with hope
THE GIRL WHO DREW STARS,Stanza 1,Walls lit like deep
THE GIRL WHO DREW STARS,Stanza 1,Folk stared with soft
THE GIRL WHO DREW STARS,Stanza 1,She smiled never spoke loud
THE GIRL WHO DREW STARS,Stanza 1,Stars knew her
THE GIRL WHO DREW STARS,Stanza 2,She walked with
THE GIRL WHO DREW STARS,Stanza 2,Each step formed pale
THE GIRL WHO DREW STARS,Stanza 2,Old trees bent to watch
THE GIRL WHO DREW STARS,Stanza 2,She drew moons on rocks
THE GIRL WHO DREW STARS,Stanza 2,Skies came close at dusk
THE GIRL WHO DREW STARS,Stanza 2,Birds sang stars at
THE GIRL WHO DREW STARS,Stanza 2,She held the
THE GIRL WHO DREW STARS,Stanza 2,And left none in
THE GIRL WHO DREW STARS,Stanza 3,Her hand danced like wind
THE GIRL WHO DREW STARS,Stanza 3,Lines curved like
THE GIRL WHO DREW STARS,Stanza 3,She drew joy from
THE GIRL WHO DREW STARS,Stanza 3,Her dots in
THE GIRL WHO DREW STARS,Stanza 3,Even storms paused to smile
THE GIRL WHO DREW STARS,Stanza 3,Rain fell soft and warm
THE GIRL WHO DREW STARS,Stanza 3,One child traced her
THE GIRL WHO DREW STARS,Stanza 3,And found peace in sky
THE GIRL WHO DREW STARS,Stanza 4,A star fell
THE GIRL WHO DREW STARS,Stanza 4,She caught it
THE GIRL WHO DREW STARS,Stanza 4,Held it to her
THE GIRL WHO DREW STARS,Stanza 4,It hummed her own
THE GIRL WHO DREW STARS,Stanza 4,All chalk turned gold soft
THE GIRL WHO DREW STARS,Stanza 4,Sang on stone
THE GIRL WHO DREW STARS,Stanza 4,Sky bowed in slow love
THE GIRL WHO DREW STARS,Stanza 4,Her steps flew
THE GIRL WHO DREW STARS,Stanza 5,She drew last
THE GIRL WHO DREW STARS,Stanza 5,Then rose with the light
THE GIRL WHO DREW STARS,Stanza 5,Folk waved in
THE GIRL WHO DREW STARS,Stanza 5,Stars stayed where
THE GIRL WHO DREW STARS,Stanza 5,Now kids draw on walls
THE GIRL WHO DREW STARS,Stanza 5,And dreams bloom from ink
THE GIRL WHO DREW STARS,Stanza 5,She gave sky to all
THE GIRL WHO DREW STARS,Stanza 5,Her name hums in dusk
THE GIRL WHO DREW STARS,Stanza 5,No one walks
THE GIRL WHO DREW STARS,Stanza 5,Stars smile from
