StoryTitle,SectionTitle,Sentence
THE HOUSE WITH NO DOOR,Stanza 1,There stood one house still
THE HOUSE WITH NO DOOR,Stanza 1,No door no lock found
THE HOUSE WITH NO DOOR,Stanza 1,But stayed shut
THE HOUSE WITH NO DOOR,Stanza 1,Wind passed but dared
THE HOUSE WITH NO DOOR,Stanza 1,Grass grew in thick
THE HOUSE WITH NO DOOR,Stanza 1,Cats hissed near
THE HOUSE WITH NO DOOR,Stanza 1,A chill sat on
THE HOUSE WITH NO DOOR,Stanza 1,Folk spoke in short tones
THE HOUSE WITH NO DOOR,Stanza 2,A boy dared one
THE HOUSE WITH NO DOOR,Stanza 2,He on bare wall
THE HOUSE WITH NO DOOR,Stanza 2,It then sang
THE HOUSE WITH NO DOOR,Stanza 2,Air thick with old sleep
THE HOUSE WITH NO DOOR,Stanza 2,The house knew his name
THE HOUSE WITH NO DOOR,Stanza 2,It opened a
THE HOUSE WITH NO DOOR,Stanza 2,He saw stairs curl down
THE HOUSE WITH NO DOOR,Stanza 2,Steps lit one by one
THE HOUSE WITH NO DOOR,Stanza 3,Walls wept with soft echoes
THE HOUSE WITH NO DOOR,Stanza 3,Dust danced in
THE HOUSE WITH NO DOOR,Stanza 3,Books off their shelf
THE HOUSE WITH NO DOOR,Stanza 3,A song played from
THE HOUSE WITH NO DOOR,Stanza 3,He found a small chair
THE HOUSE WITH NO DOOR,Stanza 3,Sat and heard past
THE HOUSE WITH NO DOOR,Stanza 3,The house told its
THE HOUSE WITH NO DOOR,Stanza 3,Each room hid
THE HOUSE WITH NO DOOR,Stanza 4,The roof with moons
THE HOUSE WITH NO DOOR,Stanza 4,Time bent near dry
THE HOUSE WITH NO DOOR,Stanza 4,His heart pulsed with fear
THE HOUSE WITH NO DOOR,Stanza 4,Then calm like
THE HOUSE WITH NO DOOR,Stanza 4,A called him
THE HOUSE WITH NO DOOR,Stanza 4,He tapped and
THE HOUSE WITH NO DOOR,Stanza 4,His own lost shoe
THE HOUSE WITH NO DOOR,Stanza 4,He knew he had
THE HOUSE WITH NO DOOR,Stanza 5,He left with no key
THE HOUSE WITH NO DOOR,Stanza 5,But now walked
THE HOUSE WITH NO DOOR,Stanza 5,The house stayed but new
THE HOUSE WITH NO DOOR,Stanza 5,Folk said it looked warm
THE HOUSE WITH NO DOOR,Stanza 5,Cats slept at its edge
THE HOUSE WITH NO DOOR,Stanza 5,Wind hummed gentle tunes now
THE HOUSE WITH NO DOOR,Stanza 5,Boy smiled with soft peace
THE HOUSE WITH NO DOOR,Stanza 5,He knew the house well
THE HOUSE WITH NO DOOR,Stanza 5,It had no
THE HOUSE WITH NO DOOR,Stanza 5,But it had deep heart
