StoryTitle,SectionTitle,Sentence
THE LAST COMET,Chapter 1,Sky burned red above the trees
THE LAST COMET,Chapter 1,Stars out from black space
THE LAST COMET,Chapter 1,Clouds flew fast and cried
THE LAST COMET,Chapter 1,Waves hit land with a roar
THE LAST COMET,Chapter 1,Sirens loud into the void
THE LAST COMET,Chapter 1,News read grim and cold
THE LAST COMET,Chapter 1,Last comet comes with fire
THE LAST COMET,Chapter 1,Hope grew thin and small
THE LAST COMET,Chapter 1,Eyes sky with dread
THE LAST COMET,Chapter 1,Time ran short for all
THE LAST COMET,Chapter 2,Sam fixed bot in
THE LAST COMET,Chapter 2,Wires blue across metal
THE LAST COMET,Chapter 2,Screen showed map with one path
THE LAST COMET,Chapter 2,The path marked deep ground cave
THE LAST COMET,Chapter 2,He told none his plan
THE LAST COMET,Chapter 2,Packed his bag with parts
THE LAST COMET,Chapter 2,Took old drone and tools
THE LAST COMET,Chapter 2,Left at dusk with fear
THE LAST COMET,Chapter 2,Heart beat loud like drums
THE LAST COMET,Chapter 2,His began that day
THE LAST COMET,Chapter 3,City fell still and dark
THE LAST COMET,Chapter 3,Shops shut down light
THE LAST COMET,Chapter 3,Skies open with
THE LAST COMET,Chapter 3,Crowds begged help from above
THE LAST COMET,Chapter 3,Sam kept north with faith
THE LAST COMET,Chapter 3,Desert grew wide and gray
THE LAST COMET,Chapter 3,Bot hummed low in wind
THE LAST COMET,Chapter 3,Dust hid stars from view
THE LAST COMET,Chapter 3,Drone flew high to scout
THE LAST COMET,Chapter 3,It found cave behind hills
THE LAST COMET,Chapter 4,Cave pulsed bright with glow
THE LAST COMET,Chapter 4,Walls glowed red like blood
THE LAST COMET,Chapter 4,Air felt thick and warm
THE LAST COMET,Chapter 4,Wrote signs on stone
THE LAST COMET,Chapter 4,Bot quick with care
THE LAST COMET,Chapter 4,Key is here to find
THE LAST COMET,Chapter 4,Door slid back with creak
THE LAST COMET,Chapter 4,Room held orb of light
THE LAST COMET,Chapter 4,It spun fast with heat
THE LAST COMET,Chapter 4,Sam in and gasped
THE LAST COMET,Chapter 5,Voice said low and deep
THE LAST COMET,Chapter 5,"You found it, brave child"
THE LAST COMET,Chapter 5,One may ride the flame
THE LAST COMET,Chapter 5,Sam out with trust
THE LAST COMET,Chapter 5,Bot him with force
THE LAST COMET,Chapter 5,Room turned dark and wild
THE LAST COMET,Chapter 5,Stars flew past his eyes
THE LAST COMET,Chapter 5,Time slowed down to still
THE LAST COMET,Chapter 5,He saw earth from high
THE LAST COMET,Chapter 5,Comet grew huge and near
THE LAST COMET,Chapter 6,He held orb of fire
THE LAST COMET,Chapter 6,Felt great pull from deep
THE LAST COMET,Chapter 6,Mind split wide and far
THE LAST COMET,Chapter 6,Truth poured in like wind
THE LAST COMET,Chapter 6,Comet held life and test
THE LAST COMET,Chapter 6,Old plan made by stars
THE LAST COMET,Chapter 6,Few may pass the gate
THE LAST COMET,Chapter 6,Sam was one with heart
THE LAST COMET,Chapter 6,He chose earth with love
THE LAST COMET,Chapter 6,Hope lit sky once more
THE LAST COMET,Chapter 7,Orb spun wild in air
THE LAST COMET,Chapter 7,Bot fused light with soul
THE LAST COMET,Chapter 7,They became one whole being
THE LAST COMET,Chapter 7,New skin glowed like steel
THE LAST COMET,Chapter 7,Wings formed out from light
THE LAST COMET,Chapter 7,Sam now flew dark
THE LAST COMET,Chapter 7,He knew path and goal
THE LAST COMET,Chapter 7,Comet neared fast with might
THE LAST COMET,Chapter 7,Earth gasped loud in fear
THE LAST COMET,Chapter 7,He flew down to save
THE LAST COMET,Chapter 8,Skies gold and red
THE LAST COMET,Chapter 8,Flames roared wide clouds
THE LAST COMET,Chapter 8,Sam hit core with fire
THE LAST COMET,Chapter 8,Time froze hard around blast
THE LAST COMET,Chapter 8,Bot spread net sky
THE LAST COMET,Chapter 8,Orb shot beam to shield
THE LAST COMET,Chapter 8,Comet slowed sharp and
THE LAST COMET,Chapter 8,Tears filled sky with joy
THE LAST COMET,Chapter 8,Clouds held breath in awe
THE LAST COMET,Chapter 8,Grew deep and warm
THE LAST COMET,Chapter 9,Sam lay still in peace
THE LAST COMET,Chapter 9,Eyes dimmed slow with grace
THE LAST COMET,Chapter 9,Bot kept glow near chest
THE LAST COMET,Chapter 9,Crowds came near to see
THE LAST COMET,Chapter 9,They sun rise slow
THE LAST COMET,Chapter 9,Wind sang soft and kind
THE LAST COMET,Chapter 9,Birds flew back to home
THE LAST COMET,Chapter 9,Grass turned green once more
THE LAST COMET,Chapter 9,Tears hit soil in thanks
THE LAST COMET,Chapter 9,He had won for all
THE LAST COMET,Chapter 10,Stood tall in town
THE LAST COMET,Chapter 10,Kids drew stars on walls
THE LAST COMET,Chapter 10,Books told tale of sam
THE LAST COMET,Chapter 10,His name soared time
THE LAST COMET,Chapter 10,Orb stayed safe with bot
THE LAST COMET,Chapter 10,Bot taught youth with joy
THE LAST COMET,Chapter 10,Peace held firm and sweet
THE LAST COMET,Chapter 10,Skies stayed blue and warm
THE LAST COMET,Chapter 10,Hope lived on all
THE LAST COMET,Chapter 10,No more comets shall come
