StoryTitle,SectionTitle,Sentence
THE MAP OF LOST DAYS,Stanza 1,I found a map torn
THE MAP OF LOST DAYS,Stanza 1,It hummed when i
THE MAP OF LOST DAYS,Stanza 1,Each mark burned with past
THE MAP OF LOST DAYS,Stanza 1,It showed no real path
THE MAP OF LOST DAYS,Stanza 1,But led to
THE MAP OF LOST DAYS,Stanza 1,The ink ran like tears
THE MAP OF LOST DAYS,Stanza 1,Gold lines curled like
THE MAP OF LOST DAYS,Stanza 1,Wind turned it
THE MAP OF LOST DAYS,Stanza 2,The hills looked like
THE MAP OF LOST DAYS,Stanza 2,Yet names were
THE MAP OF LOST DAYS,Stanza 2,Lake blue was once red
THE MAP OF LOST DAYS,Stanza 2,Time had left
THE MAP OF LOST DAYS,Stanza 2,Clouds hid parts
THE MAP OF LOST DAYS,Stanza 2,A hole marked my birth
THE MAP OF LOST DAYS,Stanza 2,Ash my spot
THE MAP OF LOST DAYS,Stanza 2,Map knew things i forgot
THE MAP OF LOST DAYS,Stanza 3,I walked where it showed
THE MAP OF LOST DAYS,Stanza 3,Echoed like bells
THE MAP OF LOST DAYS,Stanza 3,Sand told of
THE MAP OF LOST DAYS,Stanza 3,Trees leaned to
THE MAP OF LOST DAYS,Stanza 3,One stream sang old names
THE MAP OF LOST DAYS,Stanza 3,A stone held my face
THE MAP OF LOST DAYS,Stanza 3,Sky turned deep and green
THE MAP OF LOST DAYS,Stanza 3,The air held deep
THE MAP OF LOST DAYS,Stanza 3,Map pulled me to center
THE MAP OF LOST DAYS,Stanza 4,At dusk i found cross
THE MAP OF LOST DAYS,Stanza 4,Not a a gate
THE MAP OF LOST DAYS,Stanza 4,Past days called me
THE MAP OF LOST DAYS,Stanza 4,A door opened
THE MAP OF LOST DAYS,Stanza 4,Smells from school filled wind
THE MAP OF LOST DAYS,Stanza 4,Hands i missed out
THE MAP OF LOST DAYS,Stanza 4,Map lit bright with glow
THE MAP OF LOST DAYS,Stanza 4,I wept on light
THE MAP OF LOST DAYS,Stanza 4,Heart beat like drum roll
THE MAP OF LOST DAYS,Stanza 5,Then map folded itself small
THE MAP OF LOST DAYS,Stanza 5,Back into my chest
THE MAP OF LOST DAYS,Stanza 5,Now it rests
THE MAP OF LOST DAYS,Stanza 5,Each beat shows one road
THE MAP OF LOST DAYS,Stanza 5,No paths lost
THE MAP OF LOST DAYS,Stanza 5,All days wait
THE MAP OF LOST DAYS,Stanza 5,Time bends to love’s
THE MAP OF LOST DAYS,Stanza 5,I am my own map
THE MAP OF LOST DAYS,Stanza 5,And no day stays lost
THE MAP OF LOST DAYS,Stanza 5,Only paused to be
