StoryTitle,SectionTitle,Sentence
THE MOON'S LAST WISH,Chapter 1,The moon dimmed each night
THE MOON'S LAST WISH,Chapter 1,Stars slower near it
THE MOON'S LAST WISH,Chapter 1,Sky felt thin and weak
THE MOON'S LAST WISH,Chapter 1,A boy every dusk
THE MOON'S LAST WISH,Chapter 1,He saw cracks on light
THE MOON'S LAST WISH,Chapter 1,No one else him
THE MOON'S LAST WISH,Chapter 1,The moon wept mist
THE MOON'S LAST WISH,Chapter 1,Clouds moved with soft grief
THE MOON'S LAST WISH,Chapter 1,He wrote dreams to moon
THE MOON'S LAST WISH,Chapter 1,His voice high above
THE MOON'S LAST WISH,Chapter 2,The moon sent him glow
THE MOON'S LAST WISH,Chapter 2,A beam lit his room
THE MOON'S LAST WISH,Chapter 2,Paper with dust
THE MOON'S LAST WISH,Chapter 2,"Find me, it softly hummed"
THE MOON'S LAST WISH,Chapter 2,He packed snacks and rope
THE MOON'S LAST WISH,Chapter 2,Map formed on his wall
THE MOON'S LAST WISH,Chapter 2,Path led beyond deep woods
THE MOON'S LAST WISH,Chapter 2,He waved and left home
THE MOON'S LAST WISH,Chapter 2,Stars lined up as guide
THE MOON'S LAST WISH,Chapter 2,He into the dark
THE MOON'S LAST WISH,Chapter 3,He met fox with light
THE MOON'S LAST WISH,Chapter 3,It wore cloak of silk
THE MOON'S LAST WISH,Chapter 3,"Moon waits, the fox said"
THE MOON'S LAST WISH,Chapter 3,They walked past roots
THE MOON'S LAST WISH,Chapter 3,Fog curled like snakes
THE MOON'S LAST WISH,Chapter 3,They the stone hill
THE MOON'S LAST WISH,Chapter 3,Poured from the cracks
THE MOON'S LAST WISH,Chapter 3,"Fox bowed, then quick"
THE MOON'S LAST WISH,Chapter 3,Boy beam with hope
THE MOON'S LAST WISH,Chapter 3,Sky shook and door opened
THE MOON'S LAST WISH,Chapter 4,Inside was silver stair path
THE MOON'S LAST WISH,Chapter 4,Steps hummed soft with music
THE MOON'S LAST WISH,Chapter 4,He slow and steady
THE MOON'S LAST WISH,Chapter 4,Each breath lit next step
THE MOON'S LAST WISH,Chapter 4,His shoes left no sound
THE MOON'S LAST WISH,Chapter 4,He saw stars in jars
THE MOON'S LAST WISH,Chapter 4,Moon grew large and near
THE MOON'S LAST WISH,Chapter 4,His chest beat like drums
THE MOON'S LAST WISH,Chapter 4,Final step held a bell
THE MOON'S LAST WISH,Chapter 4,He rang it with care
THE MOON'S LAST WISH,Chapter 5,Moon voice filled the sky
THE MOON'S LAST WISH,Chapter 5,"My time ends, it said"
THE MOON'S LAST WISH,Chapter 5,I need a dream saved
THE MOON'S LAST WISH,Chapter 5,Boy nodded with deep heart
THE MOON'S LAST WISH,Chapter 5,Moon poured light in palms
THE MOON'S LAST WISH,Chapter 5,It formed shape of harp
THE MOON'S LAST WISH,Chapter 5,"Play for me, moon asked"
THE MOON'S LAST WISH,Chapter 5,He a song slow
THE MOON'S LAST WISH,Chapter 5,Stars cried as he played
THE MOON'S LAST WISH,Chapter 5,Moon sank with soft joy
THE MOON'S LAST WISH,Chapter 6,Sky turned dark then blue
THE MOON'S LAST WISH,Chapter 6,Wind peace trees
THE MOON'S LAST WISH,Chapter 6,Boy stood in cold light
THE MOON'S LAST WISH,Chapter 6,His hands still held harp
THE MOON'S LAST WISH,Chapter 6,He walked back calm
THE MOON'S LAST WISH,Chapter 6,Fox with warm eyes
THE MOON'S LAST WISH,Chapter 6,They soft grass
THE MOON'S LAST WISH,Chapter 6,No trail marked their steps
THE MOON'S LAST WISH,Chapter 6,Birds flew low in
THE MOON'S LAST WISH,Chapter 6,Boy smiled with silver tear
THE MOON'S LAST WISH,Chapter 7,"At home, no one aged"
THE MOON'S LAST WISH,Chapter 7,Time froze while he
THE MOON'S LAST WISH,Chapter 7,He placed harp on desk
THE MOON'S LAST WISH,Chapter 7,Dreams from every string
THE MOON'S LAST WISH,Chapter 7,Each night he soft
THE MOON'S LAST WISH,Chapter 7,Moon’s echo sang tune
THE MOON'S LAST WISH,Chapter 7,Kids slept with soft smiles
THE MOON'S LAST WISH,Chapter 7,Wept happy in sleep
THE MOON'S LAST WISH,Chapter 7,The stars danced in joy
THE MOON'S LAST WISH,Chapter 7,He never told the truth
THE MOON'S LAST WISH,Chapter 8,"One night, sky turned red"
THE MOON'S LAST WISH,Chapter 8,New moon rose face
THE MOON'S LAST WISH,Chapter 8,It asked for new dream
THE MOON'S LAST WISH,Chapter 8,Boy sat down to play
THE MOON'S LAST WISH,Chapter 8,Old harp with use
THE MOON'S LAST WISH,Chapter 8,He fixed it with thread
THE MOON'S LAST WISH,Chapter 8,Wove hope into each part
THE MOON'S LAST WISH,Chapter 8,Played until light broke sky
THE MOON'S LAST WISH,Chapter 8,New moon with thanks
THE MOON'S LAST WISH,Chapter 8,It hummed to earth
THE MOON'S LAST WISH,Chapter 9,Years passed like leaves
THE MOON'S LAST WISH,Chapter 9,Boy grew with quiet grace
