StoryTitle,SectionTitle,Sentence
THE STAR THAT HID,Poem,She from far above
THE STAR THAT HID,Poem,Clouds her shy light
THE STAR THAT HID,Poem,"The moon asked, 'why hide?'"
THE STAR THAT HID,Poem,She 'too many stars'
THE STAR THAT HID,Poem,One boy each dusk
THE STAR THAT HID,Poem,He waved from quiet hill
THE STAR THAT HID,Poem,His hope warmed her glow
THE STAR THAT HID,Poem,She peeked velvet sky
THE STAR THAT HID,Poem,Night smiled with quiet pride
THE STAR THAT HID,Poem,The star showed bright
THE STAR THAT HID,Poem,Others from the dark
THE STAR THAT HID,Poem,She for the first time
THE STAR THAT HID,Poem,Rain paused to see her shine
THE STAR THAT HID,Poem,Winds hushed with full grace
THE STAR THAT HID,Poem,Sky held her fear
THE STAR THAT HID,Poem,No longer just a speck
THE STAR THAT HID,Poem,She danced she
THE STAR THAT HID,Poem,The moon sang her name
THE STAR THAT HID,Poem,She winked at the world
THE STAR THAT HID,Poem,A light born from faith
