StoryTitle,SectionTitle,Sentence
THE STAR THAT HID,Stanza 1,She from far above
THE STAR THAT HID,Stanza 1,Clouds her shy
THE STAR THAT HID,Stanza 1,Sky kept her gently
THE STAR THAT HID,Stanza 1,Stars sang but she stayed quiet
THE STAR THAT HID,Stanza 1,She behind thin mist
THE STAR THAT HID,Stanza 1,The moon her hush
THE STAR THAT HID,Stanza 1,Its glow curved toward her
THE STAR THAT HID,Stanza 2,The moon asked why hide
THE STAR THAT HID,Stanza 2,Too many stars she
THE STAR THAT HID,Stanza 2,I don’t shine enough here
THE STAR THAT HID,Stanza 2,She feared their
THE STAR THAT HID,Stanza 2,Fell behind when
THE STAR THAT HID,Stanza 2,She wished to just watch
THE STAR THAT HID,Stanza 2,But dreams don’t rest
THE STAR THAT HID,Stanza 2,One boy waved from
THE STAR THAT HID,Stanza 3,He saw her soft
THE STAR THAT HID,Stanza 3,Every dusk he waited still
THE STAR THAT HID,Stanza 3,No just quiet hope
THE STAR THAT HID,Stanza 3,His eyes the dark
THE STAR THAT HID,Stanza 3,She felt his
THE STAR THAT HID,Stanza 3,A glow in heart
THE STAR THAT HID,Stanza 3,She peeked past
THE STAR THAT HID,Stanza 3,Her light the wind
THE STAR THAT HID,Stanza 3,Stars made room
THE STAR THAT HID,Stanza 3,Night paused to hold her
THE STAR THAT HID,Stanza 4,She danced bold
THE STAR THAT HID,Stanza 4,Moon hummed her
THE STAR THAT HID,Stanza 4,Bowed in sweet
THE STAR THAT HID,Stanza 4,Winds her bright
THE STAR THAT HID,Stanza 4,No more hiding
THE STAR THAT HID,Stanza 4,Her glow kissed the
THE STAR THAT HID,Stanza 4,Birds flew under her smile
THE STAR THAT HID,Stanza 4,Old clouds with grace
THE STAR THAT HID,Stanza 5,The world knew her now
THE STAR THAT HID,Stanza 5,But not as one
THE STAR THAT HID,Stanza 5,She was the light
THE STAR THAT HID,Stanza 5,The one who chose
THE STAR THAT HID,Stanza 5,Faith made her whole
THE STAR THAT HID,Stanza 5,She winked then
THE STAR THAT HID,Stanza 5,Night no longer
THE STAR THAT HID,Stanza 5,She became the
THE STAR THAT HID,Stanza 5,And the boy he
THE STAR THAT HID,Stanza 5,Some lights rise
