StoryTitle,SectionTitle,Sentence
THE SUNFLOWER CHILD,Chapter 1,Sun rose soft gold fields
THE SUNFLOWER CHILD,Chapter 1,Fields danced under the clear sky
THE SUNFLOWER CHILD,Chapter 1,Bees buzzed low near roots
THE SUNFLOWER CHILD,Chapter 1,A girl sang to winds
THE SUNFLOWER CHILD,Chapter 1,Bowed down in joy
THE SUNFLOWER CHILD,Chapter 1,She wore yellow from head
THE SUNFLOWER CHILD,Chapter 1,Eyes like skies above hill
THE SUNFLOWER CHILD,Chapter 1,Birds flew near her hands
THE SUNFLOWER CHILD,Chapter 1,She smiled wide with peace
THE SUNFLOWER CHILD,Chapter 1,The world sighed in calm
THE SUNFLOWER CHILD,Chapter 2,Rain had gone for months
THE SUNFLOWER CHILD,Chapter 2,Wells ran dry in valley
THE SUNFLOWER CHILD,Chapter 2,Cows lay still shade
THE SUNFLOWER CHILD,Chapter 2,Fires fast on ground
THE SUNFLOWER CHILD,Chapter 2,Dust ruled all empty lands
THE SUNFLOWER CHILD,Chapter 2,She heard cries from hills
THE SUNFLOWER CHILD,Chapter 2,Leaves turned gray in heat
THE SUNFLOWER CHILD,Chapter 2,Wind lost song and
THE SUNFLOWER CHILD,Chapter 2,Hope grew thin and
THE SUNFLOWER CHILD,Chapter 2,She stood firm on soil
THE SUNFLOWER CHILD,Chapter 3,She asked sun for help
THE SUNFLOWER CHILD,Chapter 3,It gave none that day
THE SUNFLOWER CHILD,Chapter 3,She asked moon at dusk
THE SUNFLOWER CHILD,Chapter 3,It turned cold and left
THE SUNFLOWER CHILD,Chapter 3,She wept long in dark
THE SUNFLOWER CHILD,Chapter 3,Roots felt warm near toes
THE SUNFLOWER CHILD,Chapter 3,Petals swayed slow and bright
THE SUNFLOWER CHILD,Chapter 3,A voice from dirt
THE SUNFLOWER CHILD,Chapter 3,"Seek the deep, it said"
THE SUNFLOWER CHILD,Chapter 3,"Find the seed, back"
THE SUNFLOWER CHILD,Chapter 4,She left home at dawn
THE SUNFLOWER CHILD,Chapter 4,Fields waved bye in light
THE SUNFLOWER CHILD,Chapter 4,Steps met stone and fog
THE SUNFLOWER CHILD,Chapter 4,Dark woods came into view
THE SUNFLOWER CHILD,Chapter 4,Birds stayed back and hid
THE SUNFLOWER CHILD,Chapter 4,Bugs lit path like stars
THE SUNFLOWER CHILD,Chapter 4,She hummed soft in
THE SUNFLOWER CHILD,Chapter 4,Night her steps close
THE SUNFLOWER CHILD,Chapter 4,Owls gave signs from trees
THE SUNFLOWER CHILD,Chapter 4,Trees bent kind toward her
THE SUNFLOWER CHILD,Chapter 5,She met frog with crown
THE SUNFLOWER CHILD,Chapter 5,He wore gold and mud
THE SUNFLOWER CHILD,Chapter 5,"Need rain, dear? he asked"
THE SUNFLOWER CHILD,Chapter 5,She bowed low and still
THE SUNFLOWER CHILD,Chapter 5,He thrice in
THE SUNFLOWER CHILD,Chapter 5,"Find root king, he said"
THE SUNFLOWER CHILD,Chapter 5,He knows all of need
THE SUNFLOWER CHILD,Chapter 5,Fog rose thick with chill
THE SUNFLOWER CHILD,Chapter 5,She held heart in hand
THE SUNFLOWER CHILD,Chapter 5,Moved on slow mist
THE SUNFLOWER CHILD,Chapter 6,Roots talked now in sleep
THE SUNFLOWER CHILD,Chapter 6,"They spoke deep, old truth"
THE SUNFLOWER CHILD,Chapter 6,"Water is near, they said"
