StoryTitle,SectionTitle,Sentence
THE WHISPER CODE,Chapter 1,The room was always dark
THE WHISPER CODE,Chapter 1,Buzzed in soft tone
THE WHISPER CODE,Chapter 1,No light her desk
THE WHISPER CODE,Chapter 1,Cords tight like snakes
THE WHISPER CODE,Chapter 1,A cut static
THE WHISPER CODE,Chapter 1,"She froze, eyes wide open"
THE WHISPER CODE,Chapter 1,"Voice said, help the lost"
THE WHISPER CODE,Chapter 1,Her name echoed in sound
THE WHISPER CODE,Chapter 1,Time slowed down to dust
THE WHISPER CODE,Chapter 1,She record and
THE WHISPER CODE,Chapter 2,Files red and blue
THE WHISPER CODE,Chapter 2,Each one held a name
THE WHISPER CODE,Chapter 2,She picked one at random
THE WHISPER CODE,Chapter 2,A child gone trace
THE WHISPER CODE,Chapter 2,The voice said the street
THE WHISPER CODE,Chapter 2,She and it
THE WHISPER CODE,Chapter 2,No one knew this detail
THE WHISPER CODE,Chapter 2,She traced the full case
THE WHISPER CODE,Chapter 2,Found the photo under rug
THE WHISPER CODE,Chapter 2,The file turned white again
THE WHISPER CODE,Chapter 3,New came that night
THE WHISPER CODE,Chapter 3,Two teens lost near lake
THE WHISPER CODE,Chapter 3,She wrote notes with haste
THE WHISPER CODE,Chapter 3,Clues from old tapes
THE WHISPER CODE,Chapter 3,The lake had no sound
THE WHISPER CODE,Chapter 3,She found shoe by pier
THE WHISPER CODE,Chapter 3,Voice said look far down
THE WHISPER CODE,Chapter 3,She jumped back with fear
THE WHISPER CODE,Chapter 3,Eyes looked up from deep
THE WHISPER CODE,Chapter 3,She ran home and wept
THE WHISPER CODE,Chapter 4,She sleep for days
THE WHISPER CODE,Chapter 4,Each more pain
THE WHISPER CODE,Chapter 4,But she could not stop
THE WHISPER CODE,Chapter 4,They needed her to hear
THE WHISPER CODE,Chapter 4,Next voice was a girl
THE WHISPER CODE,Chapter 4,It cried from under floor
THE WHISPER CODE,Chapter 4,She dug near her desk
THE WHISPER CODE,Chapter 4,Found bones in cloth
THE WHISPER CODE,Chapter 4,She called cops and lied
THE WHISPER CODE,Chapter 4,Said of the sound
THE WHISPER CODE,Chapter 5,A man next night
THE WHISPER CODE,Chapter 5,He wore no name tag
THE WHISPER CODE,Chapter 5,Eyes never or moved
THE WHISPER CODE,Chapter 5,You’ve heard too much now
THE WHISPER CODE,Chapter 5,She said who are you?
THE WHISPER CODE,Chapter 5,He smiled and turned fog
THE WHISPER CODE,Chapter 5,Her laptop and fried
THE WHISPER CODE,Chapter 5,All files in smoke
THE WHISPER CODE,Chapter 5,Only still came
THE WHISPER CODE,Chapter 5,She backed up on paper
THE WHISPER CODE,Chapter 6,No one her words
THE WHISPER CODE,Chapter 6,They called her a fake
THE WHISPER CODE,Chapter 6,But cases were still solved
THE WHISPER CODE,Chapter 6,Left notes at door
THE WHISPER CODE,Chapter 6,"You saved my son, they said"
THE WHISPER CODE,Chapter 6,She read each with tears
THE WHISPER CODE,Chapter 6,"Still, her world felt colder"
THE WHISPER CODE,Chapter 6,The grew more urgent
THE WHISPER CODE,Chapter 6,They asked for her soon
THE WHISPER CODE,Chapter 6,She kept the on
THE WHISPER CODE,Chapter 7,One said her name
THE WHISPER CODE,Chapter 7,The tone was soft and sad
THE WHISPER CODE,Chapter 7,"You forgot me, it cried"
THE WHISPER CODE,Chapter 7,She paused and closed eyes
THE WHISPER CODE,Chapter 7,A photo from wall
THE WHISPER CODE,Chapter 7,It was her twin
THE WHISPER CODE,Chapter 7,Lost ten years ago today
THE WHISPER CODE,Chapter 7,She never told a soul
THE WHISPER CODE,Chapter 7,He spoke radio static
THE WHISPER CODE,Chapter 7,You left me in cold
THE WHISPER CODE,Chapter 8,She went back to woods
THE WHISPER CODE,Chapter 8,The place he last was
THE WHISPER CODE,Chapter 8,Voice guided her with care
THE WHISPER CODE,Chapter 8,The heart rate
THE WHISPER CODE,Chapter 8,Wind truths she buried
THE WHISPER CODE,Chapter 8,She found his red cap
THE WHISPER CODE,Chapter 8,Under it was a tape
THE WHISPER CODE,Chapter 8,She played it with gloves
THE WHISPER CODE,Chapter 8,"I you, it said"
THE WHISPER CODE,Chapter 8,Then all went still
THE WHISPER CODE,Chapter 9,She rested for the first time
THE WHISPER CODE,Chapter 9,No buzz in her ears
THE WHISPER CODE,Chapter 9,She smiled with real joy
THE WHISPER CODE,Chapter 9,Made tea and birds
THE WHISPER CODE,Chapter 9,But the door wide
THE WHISPER CODE,Chapter 9,On the floor lay letter
THE WHISPER CODE,Chapter 9,"Help her, was all it read"
THE WHISPER CODE,Chapter 9,Had found her again
THE WHISPER CODE,Chapter 9,But now they felt light
THE WHISPER CODE,Chapter 9,She smiled and stood tall
THE WHISPER CODE,Chapter 10,Years passed but she stayed
THE WHISPER CODE,Chapter 10,They called her keeper
THE WHISPER CODE,Chapter 10,Cases going now
THE WHISPER CODE,Chapter 10,She others to listen
THE WHISPER CODE,Chapter 10,Wrote on sound memory
THE WHISPER CODE,Chapter 10,Her name faded into myth
THE WHISPER CODE,Chapter 10,Kids wore pins of
THE WHISPER CODE,Chapter 10,Static held peace not fear
THE WHISPER CODE,Chapter 10,She left one final file
THE WHISPER CODE,Chapter 10,Title said: 'my last code'
