StoryTitle,SectionTitle,Sentence
WHERE WISHES SLEEP,Stanza 1,Under stars they drift down
WHERE WISHES SLEEP,Stanza 1,Soft as dusk on
WHERE WISHES SLEEP,Stanza 1,Each wish a breath held
WHERE WISHES SLEEP,Stanza 1,Some bright some gray still
WHERE WISHES SLEEP,Stanza 1,They rest on
WHERE WISHES SLEEP,Stanza 1,Wind folds them with hush
WHERE WISHES SLEEP,Stanza 1,Sky holds their slow spin
WHERE WISHES SLEEP,Stanza 1,Hope curled in each glow
WHERE WISHES SLEEP,Stanza 2,A girl drops one deep
WHERE WISHES SLEEP,Stanza 2,She asks sky to
WHERE WISHES SLEEP,Stanza 2,Tears blend with
WHERE WISHES SLEEP,Stanza 2,Her hands shape dream paths
WHERE WISHES SLEEP,Stanza 2,A spark leaves her palm
WHERE WISHES SLEEP,Stanza 2,It floats where
WHERE WISHES SLEEP,Stanza 2,A fox then
WHERE WISHES SLEEP,Stanza 2,Time stops in that
WHERE WISHES SLEEP,Stanza 3,Wishes hum when near
WHERE WISHES SLEEP,Stanza 3,Some crack some
WHERE WISHES SLEEP,Stanza 3,Each finds a still bed
WHERE WISHES SLEEP,Stanza 3,Night tucks them with care
WHERE WISHES SLEEP,Stanza 3,Voices murmur in soft air
WHERE WISHES SLEEP,Stanza 3,No shout ever
WHERE WISHES SLEEP,Stanza 3,Only love stirs old
WHERE WISHES SLEEP,Stanza 3,They wait with slow flame
WHERE WISHES SLEEP,Stanza 4,One wish calls her back
WHERE WISHES SLEEP,Stanza 4,It glows red with
WHERE WISHES SLEEP,Stanza 4,Not from past
WHERE WISHES SLEEP,Stanza 4,It knew her soft voice
WHERE WISHES SLEEP,Stanza 4,She lifts it with ache
WHERE WISHES SLEEP,Stanza 4,The stars blink
WHERE WISHES SLEEP,Stanza 4,A dream from
WHERE WISHES SLEEP,Stanza 4,She it in full
WHERE WISHES SLEEP,Stanza 4,Then sets it
WHERE WISHES SLEEP,Stanza 5,Now she guards the sky
WHERE WISHES SLEEP,Stanza 5,Keeps the soft wish
WHERE WISHES SLEEP,Stanza 5,Her voice sings
WHERE WISHES SLEEP,Stanza 5,Fox still waits each dusk
WHERE WISHES SLEEP,Stanza 5,Wishes fly then
WHERE WISHES SLEEP,Stanza 5,They never land the same
WHERE WISHES SLEEP,Stanza 5,Each one finds its bed
WHERE WISHES SLEEP,Stanza 5,Where hopes dream and sleep
WHERE WISHES SLEEP,Stanza 5,Where stars kiss warm breath
WHERE WISHES SLEEP,Stanza 5,Where wishes wait for us
