StoryTitle,SectionTitle,Sentence
WINGS MADE OF PAPER,Stanza 1,She cut wings
WINGS MADE OF PAPER,Stanza 1,Folded dreams into each line
WINGS MADE OF PAPER,Stanza 1,Ink with small
WINGS MADE OF PAPER,Stanza 1,Glue stuck to old hope
WINGS MADE OF PAPER,Stanza 1,Her hands worked night
WINGS MADE OF PAPER,Stanza 1,Stars at her plan
WINGS MADE OF PAPER,Stanza 1,She “i will fly.”
WINGS MADE OF PAPER,Stanza 1,The wind nodded in hush
WINGS MADE OF PAPER,Stanza 2,She the wall
WINGS MADE OF PAPER,Stanza 2,Feet bare on rusted ledge
WINGS MADE OF PAPER,Stanza 2,Paper wings and
WINGS MADE OF PAPER,Stanza 2,They shook but stayed strong
WINGS MADE OF PAPER,Stanza 2,Crow cawed with eye
WINGS MADE OF PAPER,Stanza 2,Clouds moved back to
WINGS MADE OF PAPER,Stanza 2,One gust held
WINGS MADE OF PAPER,Stanza 2,Then she leapt dawn
WINGS MADE OF PAPER,Stanza 3,Wind pulled at
WINGS MADE OF PAPER,Stanza 3,Pages bent but
WINGS MADE OF PAPER,Stanza 3,She soared past
WINGS MADE OF PAPER,Stanza 3,People gasped from
WINGS MADE OF PAPER,Stanza 3,The wings hummed
WINGS MADE OF PAPER,Stanza 3,Each beat sang
WINGS MADE OF PAPER,Stanza 3,She felt than truth
WINGS MADE OF PAPER,Stanza 3,Fear then fell
WINGS MADE OF PAPER,Stanza 3,Paper held like woven silk
WINGS MADE OF PAPER,Stanza 4,Storm rolled in with speed
WINGS MADE OF PAPER,Stanza 4,Rain struck her
WINGS MADE OF PAPER,Stanza 4,Wings shook with wet pain
WINGS MADE OF PAPER,Stanza 4,She dipped close to
WINGS MADE OF PAPER,Stanza 4,But she tilted with heart
WINGS MADE OF PAPER,Stanza 4,Caught a breeze from
WINGS MADE OF PAPER,Stanza 4,Her words held her up
WINGS MADE OF PAPER,Stanza 4,Bowed to her will
WINGS MADE OF PAPER,Stanza 4,Even in awe
WINGS MADE OF PAPER,Stanza 5,She landed in soft
WINGS MADE OF PAPER,Stanza 5,Wings torn but still bright
WINGS MADE OF PAPER,Stanza 5,Crow on her side
WINGS MADE OF PAPER,Stanza 5,You flew it gently
WINGS MADE OF PAPER,Stanza 5,She hugged warm air
WINGS MADE OF PAPER,Stanza 5,Sky back in thanks
WINGS MADE OF PAPER,Stanza 5,Her words now part cloud
WINGS MADE OF PAPER,Stanza 5,Wind them more
WINGS MADE OF PAPER,Stanza 5,She proved dreams do fly
WINGS MADE OF PAPER,Stanza 5,Even if made from paper
